easting,northing,porosity,permeability,Poisson's ratio,Young's Modulus,water saturation,oil saturation,thickness (ft),proppant weight (lbs),pump rate (cubic feet/min)
80100.0,14400.0,0.08,0.03,0.315,7610344.706,0.07160718465301402,0.928392815346986,58.05639165680942,263692.69073201955,270.7337677895605
80161.0,14400.0,0.09,0.025,0.315,7635022.927,0.0713929569473599,0.9286070430526401,58.07434849306957,,
80221.0,14400.0,0.09,0.025,0.315,7635022.927,0.0713929569473599,0.9286070430526401,58.07434849306957,738801.897482763,297.4410627869017
80282.0,14400.0,0.09,0.039,0.315,7659754.591,0.07118022485658683,0.9288197751434132,58.09148458668534,,
80343.0,14400.0,0.09,0.039,0.315,7659754.591,0.07118022485658683,0.9288197751434132,58.09148458668534,878293.2549062476,410.44660565816616
80403.0,14400.0,0.08,0.021,0.315,7684537.082,0.07096896773579241,0.9290310322642076,58.10779412564336,,
80464.0,14400.0,0.07,0.02,0.315,7709367.8,0.07075916488245157,0.9292408351175484,58.12327125181609,1342398.2141778062,301.24672685468784
80525.0,14400.0,0.07,0.02,0.315,7709367.8,0.07075916488245157,0.9292408351175484,58.12327125181609,,
80585.0,14400.0,0.09,0.04,0.315,7734244.154,0.07055079552242059,0.9294492044775794,58.13791005476939,806666.8323066666,318.87743966230653
80646.0,14400.0,0.09,0.04,0.315,7734244.154,0.07055079552242059,0.9294492044775794,58.13791005476939,,
80707.0,14400.0,0.06,0.013,0.315,7759163.567,0.0703438387955146,0.9296561612044854,58.15170456556578,588280.3082448367,304.52639770964754
80767.0,14400.0,0.07,0.021,0.316,7784123.47,0.07013827374110171,0.9298617262588983,58.16464875067718,,
80828.0,14400.0,0.07,0.021,0.316,7784123.47,0.07013827374110171,0.9298617262588983,58.16464875067718,697675.001799657,339.1774641054577
80889.0,14400.0,0.09,0.028,0.316,7809121.307,0.06993407928357573,0.9300659207164242,58.17673650576871,,
80949.0,14400.0,0.09,0.028,0.316,7809121.307,0.06993407928357573,0.9300659207164242,58.17673650576871,514556.6877032711,206.19410148048965
81010.0,14400.0,0.1,0.044,0.316,7834154.527,0.06973123421755452,0.9302687657824454,58.18796164956668,,
81071.0,14400.0,0.08,0.032,0.316,7859220.588,0.06952971719287449,0.9304702828071255,58.19831791763625,608704.2234357205,410.54332966569535
81131.0,14400.0,0.08,0.032,0.316,7859220.588,0.06952971719287449,0.9304702828071255,58.19831791763625,,
81192.0,14400.0,0.11,0.053,0.316,7884316.956,0.06932950669957658,0.9306704933004234,58.207798956223975,794761.8037783921,268.7495143276791
81253.0,14400.0,0.09,0.036,0.316,7909441.103,0.06913058105261938,0.9308694189473806,58.21639831605891,,
81313.0,14400.0,0.09,0.036,0.316,7909441.103,0.06913058105261938,0.9308694189473806,58.21639831605891,557552.2626695232,276.63131235570023
81374.0,14400.0,0.08,0.029,0.317,7934590.503,0.06893291837635843,0.9310670816236416,58.22410944611485,,
81435.0,14400.0,0.08,0.029,0.317,7934590.503,0.06893291837635843,0.9310670816236416,58.22410944611485,874501.7336485086,311.2846460636587
81495.0,14400.0,0.05,0.012,0.317,7959762.639,0.06873649658898476,0.9312635034110153,58.23092568741852,,
81556.0,14400.0,0.06,0.014,0.317,7984954.992,0.06854129338662286,0.9314587066133772,58.23684026677726,975768.1626271589,357.2506756379169
81617.0,14400.0,0.06,0.014,0.317,7984954.992,0.06854129338662286,0.9314587066133772,58.23684026677726,,
81677.0,14400.0,0.09,0.04,0.317,8010165.051,0.06834728622738988,0.9316527137726102,58.24184629051401,1216136.7156501543,255.30600732420442
81738.0,14400.0,0.09,0.04,0.317,8010165.051,0.06834728622738988,0.9316527137726102,58.24184629051401,,
81799.0,14400.0,0.08,0.033,0.317,8035390.302,0.06815445231515507,0.931845547684845,58.24593673822153,219844.95903793618,251.5401318122985
81859.0,14400.0,0.07,0.021,0.317,8060628.234,0.06796276858319014,0.9320372314168098,58.249104456444755,,
81920.0,14400.0,0.07,0.021,0.317,8060628.234,0.06796276858319014,0.9320372314168098,58.249104456444755,974892.776982326,297.9853898397193
81981.0,14400.0,0.09,0.036,0.317,8085876.335,0.06777221167758554,0.9322277883224145,58.251342152346865,,
82041.0,14400.0,0.09,0.036,0.317,8085876.335,0.06777221167758554,0.9322277883224145,58.251342152346865,926271.2195885811,311.9355626281876
82102.0,14400.0,0.07,0.024,0.318,8111132.094,0.06758275794051163,0.9324172420594884,58.25264238739831,,
82163.0,14400.0,0.1,0.035,0.318,8136392.995,0.06739438339327644,0.9326056166067236,58.25299757102736,1576386.582771093,304.24359446040575
82223.0,14400.0,0.1,0.035,0.318,8136392.995,0.06739438339327644,0.9326056166067236,58.25299757102736,,
82284.0,14400.0,0.09,0.043,0.318,8161656.523,0.06720706371926206,0.9327929362807379,58.25239995421959,783130.6048134957,331.1197193991503
82345.0,14400.0,0.09,0.043,0.318,8161656.523,0.06720706371926206,0.9327929362807379,58.25239995421959,,
82405.0,14400.0,0.08,0.031,0.318,8186920.155,0.06702077424658452,0.9329792257534155,58.25084162316605,406144.38517444633,321.17699784645754
82466.0,14400.0,0.07,0.016,0.318,8212181.369,0.06683548993069355,0.9331645100693065,58.24831449281978,,
82527.0,14400.0,0.07,0.016,0.318,8212181.369,0.06683548993069355,0.9331645100693065,58.24831449281978,904204.3355003298,318.8174672929671
82587.0,14400.0,0.09,0.033,0.318,8237437.633,0.06665118533680792,0.9333488146631921,58.244810300511425,,
82648.0,14400.0,0.09,0.033,0.318,8237437.633,0.06665118533680792,0.9333488146631921,58.244810300511425,694782.2967364492,280.31841109778907
82709.0,14400.0,0.08,0.023,0.319,8262686.412,0.06646783462209702,0.933532165377903,58.24032059949728,,
82769.0,14400.0,0.11,0.044,0.319,8287925.163,0.06628541151779098,0.933714588482209,58.23483675259859,919220.3436902115,300.88497728127464
82830.0,14400.0,0.11,0.044,0.319,8287925.163,0.06628541151779098,0.933714588482209,58.23483675259859,,
82891.0,14400.0,0.09,0.043,0.319,8313151.335,0.06610388931127636,0.9338961106887236,58.22834992563489,818289.161166095,363.94780314759754
82951.0,14400.0,0.07,0.024,0.319,8338362.371,0.06592324082790282,0.9340767591720972,58.22085108111756,,
83012.0,14400.0,0.07,0.024,0.319,8338362.371,0.06592324082790282,0.9340767591720972,58.22085108111756,760330.3319969286,272.11294532966645
83073.0,14400.0,0.08,0.031,0.319,8363555.701,0.06574343841278463,0.9342565615872154,58.212330971785555,,
83133.0,14400.0,0.08,0.031,0.319,8363555.701,0.06574343841278463,0.9342565615872154,58.212330971785555,1084120.3251624077,266.85283899649255
83194.0,14400.0,0.07,0.024,0.319,8388728.748,0.06556445391253428,0.9344355460874657,58.20278013419688,,
83255.0,14400.0,0.08,0.023,0.319,8413878.923,0.06538625865691187,0.9346137413430882,58.19218888235915,523295.4699168034,240.98514584273704
83315.0,14400.0,0.08,0.023,0.319,8413878.923,0.06538625865691187,0.9346137413430882,58.19218888235915,,
83376.0,14400.0,0.08,0.028,0.32,8439003.624,0.06520882344063074,0.9347911765593693,58.18054730136006,872967.4247643105,306.3997274873399
83437.0,14400.0,0.08,0.028,0.32,8439003.624,0.06520882344063074,0.9347911765593693,58.18054730136006,,
83498.0,14400.0,0.08,0.031,0.32,8464100.24,0.06503211850475737,0.9349678814952427,58.167845241122095,361815.10679653916,379.25407549080467
83558.0,14400.0,0.08,0.025,0.32,8489166.143,0.0648561135187013,0.9351438864812986,58.154072310132925,,
83619.0,14400.0,0.08,0.025,0.32,8489166.143,0.0648561135187013,0.9351438864812986,58.154072310132925,893378.8417990668,297.1461805130609
