easting,northing,porosity,permeability,Poisson's ratio,Young's Modulus,water saturation,oil saturation,thickness (ft),proppant weight (lbs),pump rate (cubic feet/min)
25600.0,8900.0,0.04,0.008,0.318,9667087.432,0.1930038289159896,0.8069961710840103,46.47503878048118,608746.8383872436,332.2012773548539
25677.0,8900.0,0.07,0.016,0.318,9682500.629,0.19301324312571067,0.8069867568742893,46.7674661345094,,
25753.0,8900.0,0.06,0.016,0.317,9697816.368,0.19302406648975967,0.8069759335102403,47.05692681181095,,
25830.0,8900.0,0.06,0.016,0.317,9697816.368,0.19302406648975967,0.8069759335102403,47.05692681181095,1142301.4719268086,355.9180343825186
25907.0,8900.0,0.06,0.015,0.317,9713034.385,0.19303629749762952,0.8069637025023705,47.34336768606989,,
25983.0,8900.0,0.07,0.026,0.317,9728154.419,0.19304993444325155,0.8069500655567484,47.62673443498071,,
26060.0,8900.0,0.04,0.006,0.317,9743176.212,0.1930649754280299,0.8069350245719701,47.90697147486929,338686.0535812835,253.98867736826386
26136.0,8900.0,0.04,0.006,0.317,9743176.212,0.1930649754280299,0.8069350245719701,47.90697147486929,,
26213.0,8900.0,0.05,0.01,0.317,9758099.508,0.19308141836404935,0.8069185816359506,48.184021890056805,,
26290.0,8900.0,0.04,0.005,0.316,9772924.053,0.19309926097809346,0.8069007390219065,48.4578273563534,913820.83187026,289.273847141578
26366.0,8900.0,0.05,0.008,0.316,9787649.596,0.19311850081544227,0.8068814991845578,48.72832805806725,,
26443.0,8900.0,0.05,0.008,0.316,9787649.596,0.19311850081544227,0.8068814991845578,48.72832805806725,,
26520.0,8900.0,0.05,0.01,0.316,9802275.887,0.19313913524426807,0.8068608647557319,48.9954625978787,1197126.6081238755,317.1509907708034
26596.0,8900.0,0.04,0.006,0.316,9816802.678,0.19316116146048268,0.8068388385395173,49.25916789879892,,
26673.0,8900.0,0.06,0.012,0.315,9831229.722,0.19318457649275395,0.806815423507246,49.51937909729784,,
26750.0,8900.0,0.06,0.012,0.315,9831229.722,0.19318457649275395,0.806815423507246,49.51937909729784,505715.0347631224,390.25310187949526
26826.0,8900.0,0.04,0.008,0.315,9845556.776,0.19320937720861361,0.8067906227913864,49.776029426683166,,
26903.0,8900.0,0.07,0.02,0.315,9859783.595,0.19323556032037906,0.806764439679621,50.029050089599885,,
26980.0,8900.0,0.04,0.005,0.315,9873909.937,0.19326312239216198,0.8067368776078381,50.27837011846736,454759.47870348557,293.0919599602215
27056.0,8900.0,0.04,0.005,0.314,9887935.559,0.1932920598474721,0.8067079401525279,50.5239162223904,,
27133.0,8900.0,0.04,0.005,0.314,9887935.559,0.1932920598474721,0.8067079401525279,50.5239162223904,,
