easting,northing,porosity,permeability,Poisson's ratio,Young's Modulus,water saturation,oil saturation,thickness (ft),proppant weight (lbs),pump rate (cubic feet/min)
70100.0,28600.0,0.1,0.04,0.297,9694781.917,0.1627501309871564,0.8372498690128436,99.89647694063848,121121.75459089832,311.61374541167686
70167.0,28600.0,0.09,0.032,0.297,9698885.667,0.16203286053732474,0.8379671394626753,99.73170682925117,,
70235.0,28600.0,0.09,0.032,0.297,9698885.667,0.16203286053732474,0.8379671394626753,99.73170682925117,735134.4361222043,283.8679862760798
70302.0,28600.0,0.1,0.032,0.297,9702743.056,0.16131791738704354,0.8386820826129564,99.56278986934836,,
70370.0,28600.0,0.09,0.05,0.297,9706359.241,0.16060525821155197,0.839394741788448,99.38977648161234,1531678.1564282337,322.6081357094734
70437.0,28600.0,0.09,0.05,0.297,9706359.241,0.16060525821155197,0.839394741788448,99.38977648161234,,
70505.0,28600.0,0.07,0.021,0.297,9709741.214,0.1598948193898974,0.8401051806101025,99.2127365697435,497934.27437238826,361.11302815079637
70572.0,28600.0,0.07,0.017,0.297,9712897.49,0.15918652039128658,0.8408134796087134,99.03175627177383,,
70640.0,28600.0,0.07,0.017,0.297,9712897.49,0.15918652039128658,0.8408134796087134,99.03175627177383,658508.0928143292,225.64451514317832
70707.0,28600.0,0.08,0.028,0.297,9715837.776,0.15848026742576637,0.8415197325742336,98.84693445732925,,
70774.0,28600.0,0.1,0.034,0.297,9718572.638,0.1577759570446734,0.8422240429553266,98.65837927329935,568221.4694330292,330.49008236042124
70842.0,28600.0,0.1,0.034,0.297,9718572.638,0.1577759570446734,0.8422240429553266,98.65837927329935,,
70909.0,28600.0,0.07,0.02,0.297,9721113.202,0.15707347945295042,0.8429265205470495,98.46620496598334,171217.88289727073,359.1034420894985
70977.0,28600.0,0.07,0.024,0.297,9723470.885,0.15637272138644667,0.8436272786135534,98.27052912135873,,
71044.0,28600.0,0.07,0.024,0.297,9723470.885,0.15637272138644667,0.8436272786135534,98.27052912135873,590201.149742606,313.39011859216515
71112.0,28600.0,0.08,0.025,0.297,9725657.181,0.15567356848887998,0.8443264315111201,98.07147038547672,,
71179.0,28600.0,0.09,0.03,0.297,9727683.492,0.1549759071877151,0.845024092812285,97.86914666643784,891049.4883013559,348.8397978555542
71247.0,28600.0,0.09,0.03,0.297,9727683.492,0.1549759071877151,0.845024092812285,97.86914666643784,,
71314.0,28600.0,0.07,0.019,0.297,9729560.991,0.15427962610905807,0.8457203738909419,97.66367377886816,949403.315673731,331.9762736407252
71381.0,28600.0,0.09,0.03,0.297,9731300.537,0.15358461709403742,0.8464153829059626,97.45516447105771,,
71449.0,28600.0,0.09,0.03,0.297,9731300.537,0.15358461709403742,0.8464153829059626,97.45516447105771,842099.0651342233,320.945040474298
71516.0,28600.0,0.08,0.028,0.297,9732912.609,0.15289077588704764,0.8471092241129523,97.24372776748783,,
71584.0,28600.0,0.08,0.033,0.297,9734407.266,0.1521980025634352,0.8478019974365648,97.02946856143593,681235.946824346,308.99007770922555
71651.0,28600.0,0.09,0.031,0.297,9735794.128,0.15150620175733864,0.8484937982426614,96.81248739943162,,
71719.0,28600.0,0.09,0.031,0.297,9735794.128,0.15150620175733864,0.8484937982426614,96.81248739943162,676886.3690927979,307.91370389133226
71786.0,28600.0,0.11,0.056,0.297,9737082.369,0.15081528274131026,0.8491847172586897,96.59288040830164,,
71853.0,28600.0,0.08,0.022,0.297,9738280.719,0.15012515939889892,0.8498748406011011,96.37073932486976,714002.684229714,409.56141777690027
71921.0,28600.0,0.08,0.022,0.297,9738280.719,0.15012515939889892,0.8498748406011011,96.37073932486976,,
71988.0,28600.0,0.07,0.024,0.297,9739397.475,0.14943575012277174,0.8505642498772282,96.14615159709031,797786.850699372,306.68560113452315
72056.0,28600.0,0.08,0.035,0.297,9740440.514,0.14874697766391481,0.8512530223360852,95.91920053247509,,
72123.0,28600.0,0.08,0.035,0.297,9740440.514,0.14874697766391481,0.8512530223360852,95.91920053247509,801976.6984186609,293.5579761737381
72191.0,28600.0,0.08,0.036,0.297,9741417.31,0.14805876894968745,0.8519412310503125,95.68996547615443,,
72258.0,28600.0,0.09,0.035,0.297,9742334.955,0.14737105488525715,0.8526289451147429,95.45852200505283,1068111.4118515085,263.940104686018
72326.0,28600.0,0.09,0.035,0.297,9742334.955,0.14737105488525715,0.8526289451147429,95.45852200505283,,
72393.0,28600.0,0.07,0.021,0.298,9743200.173,0.14668377014758963,0.8533162298524104,95.22494212918747,831768.0951363776,379.95024056003933
72460.0,28600.0,0.09,0.035,0.298,9744019.345,0.14599685297940482,0.8540031470205952,94.98929449311727,,
72528.0,28600.0,0.09,0.035,0.298,9744019.345,0.14599685297940482,0.8540031470205952,94.98929449311727,381234.4149081032,314.53793814118035
72595.0,28600.0,0.09,0.042,0.298,9744798.525,0.14531024498719422,0.8546897550128058,94.75164457337195,,
72663.0,28600.0,0.1,0.057,0.298,9745543.459,0.14462389094697245,0.8553761090530275,94.51205486863716,809605.2829756828,326.0979270074217
72730.0,28600.0,0.1,0.057,0.298,9745543.459,0.14462389094697245,0.8553761090530275,94.51205486863716,,
