easting,northing,porosity,permeability,Poisson's ratio,Young's Modulus,water saturation,oil saturation,thickness (ft),proppant weight (lbs),pump rate (cubic feet/min)
8200.0,200.0,0.06,0.012,0.357,4191744.263,0.23313379245945817,0.7668662075405418,5.0,1049476.3796346548,307.38583385106165
8311.0,200.0,0.04,0.005,0.356,4211978.793,0.2331363946563365,0.7668636053436635,5.0,,
8421.0,200.0,0.04,0.005,0.356,4232234.698,0.2331376544842946,0.7668623455157054,5.0,,
8532.0,200.0,0.05,0.008,0.356,4252512.084,0.23313756777042616,0.7668624322295738,5.0,,
8643.0,200.0,0.03,0.005,0.356,4272811.039,0.23313613072452755,0.7668638692754725,5.0,1200638.1700055224,280.6035005897636
8754.0,200.0,0.06,0.014,0.355,4313473.937,0.23312919242927427,0.7668708075707258,5.0,,
8864.0,200.0,0.05,0.009,0.355,4333837.974,0.23312368557263943,0.7668763144273606,5.0,,
8975.0,200.0,0.06,0.011,0.355,4354223.771,0.23311681718088167,0.7668831828191183,5.0,,
9086.0,200.0,0.04,0.005,0.355,4374631.333,0.23310858547225966,0.7668914145277403,5.0,829929.9918289059,255.8952560275675
9197.0,200.0,0.05,0.009,0.355,4395060.645,0.2330989890829149,0.7669010109170851,5.0,,
9307.0,200.0,0.04,0.006,0.354,4415511.677,0.23308802707107468,0.7669119729289253,5.0,,
9418.0,200.0,0.06,0.014,0.354,4435984.378,0.2330756989213431,0.7669243010786568,5.0,,
9529.0,200.0,0.05,0.01,0.354,4456478.68,0.23306200454790468,0.7669379954520953,5.0,328863.3059471577,235.77744670491361
9640.0,200.0,0.06,0.016,0.354,4476994.496,0.2330469442973453,0.7669530557026547,5.0,,
9750.0,200.0,0.07,0.023,0.353,4518090.233,0.2330127297289179,0.766987270271082,5.0,,
9861.0,200.0,0.08,0.024,0.353,4538669.886,0.23299357828682604,0.767006421713174,5.0,,
9972.0,200.0,0.06,0.013,0.353,4559270.521,0.23297306672175352,0.7670269332782464,5.0,469283.959870555,290.8440322373486
10082.0,200.0,0.09,0.033,0.353,4579891.957,0.23295119756978908,0.7670488024302109,5.0,,
10193.0,200.0,0.03,0.004,0.352,4600533.995,0.23292797380687127,0.7670720261931288,5.0,,
10304.0,200.0,0.05,0.009,0.352,4621196.417,0.23290339884786498,0.767096601152135,5.0,,
10415.0,200.0,0.06,0.014,0.352,4641878.987,0.2328774765452951,0.7671225234547049,5.0,1798321.191135015,264.3365039346445
10525.0,200.0,0.06,0.012,0.352,4662581.449,0.23285021118818766,0.7671497888118124,5.0,,
10636.0,200.0,0.05,0.01,0.352,4683303.529,0.23282160749921763,0.7671783925007823,5.0,,
10747.0,200.0,0.07,0.026,0.351,4704044.935,0.23279167063246556,0.7672083293675345,5.0,,
10858.0,200.0,0.04,0.008,0.351,4745584.463,0.2327278201181318,0.7672721798818682,5.0,1813273.9843876527,377.1896495843772
10968.0,200.0,0.06,0.014,0.351,4766381.908,0.23269391890343802,0.767306081096562,5.0,,
11079.0,200.0,0.03,0.003,0.35,4787197.327,0.23265870936795402,0.767341290632046,5.0,,
11190.0,200.0,0.05,0.008,0.35,4808030.336,0.23262219876392864,0.7673778012360714,5.0,,
11301.0,200.0,0.05,0.01,0.35,4828880.536,0.2325843947483166,0.7674156052516834,5.0,1813650.7853732498,315.4053903645847
11411.0,200.0,0.05,0.009,0.35,4849747.507,0.23254530537702878,0.7674546946229712,5.0,,
11522.0,200.0,0.06,0.015,0.35,4870630.816,0.23250493909804346,0.7674950609019565,5.0,,
11633.0,200.0,0.05,0.008,0.349,4891530.011,0.23246330474486604,0.7675366952551339,5.0,,
11743.0,200.0,0.05,0.016,0.349,4912444.625,0.232420411529177,0.767579588470823,5.0,1069418.7059972566,275.00094095797544
11854.0,200.0,0.05,0.01,0.349,4954318.153,0.23233088720212053,0.7676691127978794,5.0,,
11965.0,200.0,0.07,0.021,0.348,4975276.053,0.23228427633511542,0.7677157236648846,5.0,,
12076.0,200.0,0.05,0.01,0.348,4996247.34,0.2322364470774522,0.7677635529225478,5.0,,
12186.0,200.0,0.05,0.012,0.348,5017231.47,0.23218741041119628,0.7678125895888037,5.0,38296.24768679616,342.40503950151816
12297.0,200.0,0.04,0.006,0.348,5038227.881,0.23213717764626945,0.7678628223537305,5.0,,
12408.0,200.0,0.06,0.018,0.348,5059236.001,0.23208576041096624,0.7679142395890337,5.0,,
12519.0,200.0,0.05,0.009,0.347,5080255.24,0.2320331706424268,0.7679668293575732,5.0,,
12629.0,200.0,0.04,0.007,0.347,5101284.999,0.23197942057663817,0.7680205794233619,5.0,898396.7412732563,318.40912189196325
12740.0,200.0,0.05,0.008,0.347,5122324.662,0.23192452273876094,0.768075477261239,5.0,,
12851.0,200.0,0.05,0.011,0.346,5164431.184,0.2318113352304525,0.7681886647695475,5.0,,
12962.0,200.0,0.05,0.008,0.346,5185496.753,0.23175307196278538,0.7682469280372146,5.0,,
13072.0,200.0,0.06,0.018,0.346,5206569.649,0.23169371370770994,0.76830628629229,5.0,591092.415054657,248.76353461900246
13183.0,200.0,0.04,0.009,0.346,5227649.199,0.23163327428006716,0.7683667257199328,5.0,,
13294.0,200.0,0.09,0.039,0.345,5248734.721,0.23157176772112076,0.7684282322788792,5.0,,
13404.0,200.0,0.04,0.005,0.345,5269825.521,0.23150920828783542,0.7684907917121646,5.0,,
13515.0,200.0,0.05,0.008,0.345,5290920.896,0.2314456104418156,0.7685543895581843,5.0,1325924.6706893146,323.4878865341542
13626.0,200.0,0.02,0.002,0.345,5312020.134,0.2313809888390123,0.7686190111609876,5.0,,
13737.0,200.0,0.04,0.005,0.344,5333122.515,0.23131535831860953,0.7686846416813905,5.0,,
13847.0,200.0,0.05,0.012,0.344,5354227.309,0.2312487338928381,0.7687512661071619,5.0,,
13958.0,200.0,0.03,0.003,0.344,5396441.185,0.23111256417288373,0.7688874358271163,5.0,1680514.693488668,302.76127860166366
14069.0,200.0,0.05,0.009,0.343,5417548.77,0.23104304967116562,0.7689569503288344,5.0,,
14180.0,200.0,0.04,0.006,0.343,5438655.778,0.23097260282784082,0.7690273971721592,5.0,,
14290.0,200.0,0.04,0.006,0.343,5459761.444,0.23090123936056353,0.7690987606394365,5.0,,
14401.0,200.0,0.04,0.007,0.343,5480864.999,0.23082897509715963,0.7691710249028404,5.0,1662496.9922068466,273.11331841466495
14512.0,200.0,0.07,0.024,0.343,5501965.667,0.23075582596536198,0.7692441740346381,5.0,,
14623.0,200.0,0.05,0.008,0.342,5523062.666,0.23068180798314214,0.7693181920168579,5.0,,
14733.0,200.0,0.06,0.015,0.342,5544155.213,0.23060693724877965,0.7693930627512203,5.0,,
14844.0,200.0,0.05,0.012,0.342,5565242.516,0.23053122993125916,0.7694687700687408,5.0,979191.5423171276,270.23506103731756
14955.0,200.0,0.07,0.015,0.341,5607398.216,0.23037737051965784,0.7696226294803421,5.0,,
15065.0,200.0,0.03,0.003,0.341,5628465.015,0.23029925103277804,0.769700748967222,5.0,,
15176.0,200.0,0.04,0.007,0.341,5649523.377,0.2302203601591106,0.7697796398408894,5.0,,
15287.0,200.0,0.02,0.002,0.341,5670572.496,0.23014071428265231,0.7698592857173476,5.0,759945.1480173336,300.8320919926071
15398.0,200.0,0.06,0.016,0.34,5691611.563,0.23006032980416155,0.7699396701958384,5.0,,
15508.0,200.0,0.04,0.009,0.34,5712639.77,0.22997922313256997,0.7700207768674301,5.0,,
15619.0,200.0,0.04,0.006,0.34,5733656.305,0.22989741067692432,0.7701025893230757,5.0,,
15730.0,200.0,0.06,0.014,0.34,5754660.356,0.22981490883843966,0.7701850911615603,5.0,1211891.1378478988,305.0283657864053
15841.0,200.0,0.05,0.008,0.339,5775651.108,0.22973173400271882,0.7702682659972812,5.0,,
15951.0,200.0,0.06,0.018,0.339,5817589.461,0.2295634307589875,0.7704365692410124,5.0,,
16062.0,200.0,0.07,0.018,0.339,5838535.432,0.2294783349776811,0.7705216650223189,5.0,,
16173.0,200.0,0.05,0.009,0.338,5859464.848,0.22939263143817482,0.7706073685618252,5.0,415348.249444558,299.15413412956326
16284.0,200.0,0.05,0.009,0.338,5880376.894,0.22930633633934672,0.7706936636606533,5.0,,
16394.0,200.0,0.04,0.005,0.338,5901270.757,0.22921946582246613,0.7707805341775339,5.0,,
16505.0,200.0,0.06,0.016,0.338,5922145.624,0.22913203596473158,0.7708679640352685,5.0,,
16616.0,200.0,0.05,0.008,0.337,5943000.684,0.2290440627734788,0.7709559372265212,5.0,971825.3803854776,276.0821480860137
16726.0,200.0,0.05,0.007,0.337,5963835.127,0.22895556217999757,0.7710444378200024,5.0,,
16837.0,200.0,0.04,0.005,0.337,5984648.145,0.22886655003398676,0.7711334499660132,5.0,,
16948.0,200.0,0.04,0.006,0.337,6005438.931,0.22877704209832023,0.7712229579016798,5.0,,
