easting,northing,porosity,permeability,Poisson's ratio,Young's Modulus,water saturation,oil saturation,thickness (ft),proppant weight (lbs),pump rate (cubic feet/min)
65700.0,50700.0,0.07,0.021,0.338,7763083.652,0.24633096183374778,0.7536690381662522,57.09870151468208,395195.86105283565,292.9035697245812
65811.0,50700.0,0.07,0.019,0.338,7762595.349,0.2465503241891581,0.7534496758108419,57.18043783596879,,
65922.0,50700.0,0.07,0.025,0.338,7762208.046,0.24676783789167234,0.7532321621083277,57.25972431221839,669679.1783623813,293.60261448885973
66033.0,50700.0,0.07,0.024,0.338,7761924.006,0.24698338643606857,0.7530166135639315,57.33654724398731,,
66144.0,50700.0,0.09,0.029,0.338,7761745.571,0.24719684838170822,0.7528031516182918,57.41089322664583,1160200.8771016155,337.22307537317573
66254.0,50700.0,0.07,0.019,0.338,7761715.298,0.24761700066053582,0.7523829993394642,57.55210219467152,,
66365.0,50700.0,0.06,0.012,0.338,7761868.574,0.24782342130472174,0.7521765786952783,57.618939836416565,1258115.0890692696,217.4581659473771
66476.0,50700.0,0.07,0.019,0.338,7762137.69,0.24802721541975534,0.7519727845802446,57.68324983967758,,
66587.0,50700.0,0.06,0.016,0.338,7762525.446,0.24822823309508044,0.7517717669049195,57.745020259082345,970932.0769078718,382.27392205255455
66698.0,50700.0,0.07,0.023,0.338,7763034.748,0.2484263178071422,0.7515736821928578,57.80423943762894,,
66809.0,50700.0,0.06,0.008,0.337,7763668.618,0.24862130604618307,0.751378693953817,57.86089600525782,613325.7537486262,250.38401376505365
66920.0,50700.0,0.06,0.015,0.337,7764430.195,0.24881302690651746,0.7511869730934826,57.91497887735671,,
67031.0,50700.0,0.07,0.024,0.337,7765322.751,0.24900130163592607,0.750998698364074,57.966477253037816,830929.5050731711,307.8512518643057
67142.0,50700.0,0.08,0.022,0.337,7766349.692,0.24918594313814899,0.750814056861851,58.01538061326707,,
67252.0,50700.0,0.07,0.018,0.337,7768821.103,0.24954353298945015,0.7504564670105498,58.10536160786219,518036.18153955287,270.34690648675087
67363.0,50700.0,0.09,0.035,0.337,7770273.165,0.2497160601525442,0.7502839398474558,58.146419593550405,,
67474.0,50700.0,0.09,0.039,0.337,7771874.82,0.2498841102698855,0.7501158897301146,58.18484326092645,927529.5756096959,288.93268110462463
67585.0,50700.0,0.09,0.03,0.337,7773630.329,0.2500474448879613,0.7499525551120387,58.22062346373456,,
67696.0,50700.0,0.07,0.02,0.337,7775544.167,0.2502058127728048,0.7497941872271952,58.253751320688046,528126.1165625922,170.46823382366023
67807.0,50700.0,0.05,0.012,0.337,7777621.041,0.2503589488131478,0.7496410511868522,58.28421821126123,,
67918.0,50700.0,0.06,0.012,0.337,7779865.916,0.2505065727728276,0.7494934272271724,58.31201577085322,34807.08079357369,340.06739389045475
68029.0,50700.0,0.08,0.027,0.337,7782284.034,0.25064838786576726,0.7493516121342327,58.337135885326816,,
68140.0,50700.0,0.09,0.038,0.337,7784880.948,0.2507840791215801,0.7492159208784199,58.35957068464434,1096695.4290952447,237.96804892623982
68250.0,50700.0,0.08,0.024,0.336,7790635.117,0.2510357277323484,0.7489642722676516,58.396354033350086,,
68361.0,50700.0,0.06,0.015,0.336,7793805.343,0.251150945765603,0.7488490542343971,58.410687991705444,1152092.297338976,324.67784738221417
68472.0,50700.0,0.06,0.018,0.336,7797180.4,0.2512585558654499,0.7487414441345501,58.422307431687905,,
68583.0,50700.0,0.07,0.019,0.336,7800767.996,0.25135811719193335,0.7486418828080666,58.43120556832154,657938.6115732983,335.13055446006507
68694.0,50700.0,0.08,0.024,0.336,7804576.439,0.25144915384798605,0.748550846152014,58.43737579530165,,
68805.0,50700.0,0.08,0.03,0.336,7808614.726,0.2515311503148484,0.7484688496851516,58.440811667275355,800998.3828593337,229.51558456449263
68916.0,50700.0,0.07,0.021,0.336,7812892.623,0.25160354624663295,0.748396453753367,58.44150687965281,,
69027.0,50700.0,0.07,0.02,0.336,7817420.778,0.25166573066821885,0.7483342693317812,58.43945524610847,1024860.2962794069,176.3174228973179
69138.0,50700.0,0.06,0.012,0.336,7822210.82,0.2517170357799605,0.7482829642200395,58.43465067452275,,
69248.0,50700.0,0.05,0.01,0.336,7827275.471,0.2517567308843339,0.7482432691156661,58.42708714336502,486072.84068880865,279.3288947699431
69359.0,50700.0,0.07,0.015,0.335,7838285.395,0.25179802788126465,0.7482019721187354,58.40365936782672,,
69470.0,50700.0,0.09,0.033,0.335,7844261.984,0.2517978300980022,0.7482021699019978,58.38778333887643,903006.6972888085,257.74781521755625
69581.0,50700.0,0.07,0.02,0.335,7850575.409,0.25178244605259853,0.7482175539474014,58.369124868894744,,
69692.0,50700.0,0.08,0.028,0.335,7857242.821,0.2517508891218444,0.7482491108781556,58.34767850790733,504230.5848167514,366.07539702335544
69803.0,50700.0,0.09,0.035,0.335,7864280.378,0.25170222879818777,0.7482977712018122,58.32343933016505,,
69914.0,50700.0,0.08,0.027,0.335,7871701.631,0.25163568276084625,0.7483643172391538,58.29640328649362,1390960.5876275757,357.21198452157097
70025.0,50700.0,0.06,0.016,0.335,7879515.671,0.25155072252568345,0.7484492774743166,58.26656760872862,,
