easting,northing,porosity,permeability,Poisson's ratio,Young's Modulus,water saturation,oil saturation,thickness (ft),proppant weight (lbs),pump rate (cubic feet/min)
28200.0,45200.0,0.04,0.005,0.295,12579226.6,0.057638051676338946,0.942361948323661,95.99113704834251,551998.0976923858,324.0342070182143
28270.0,45200.0,0.04,0.004,0.295,12580391.967,0.058057125328050053,0.9419428746719499,96.0636049461283,,
28340.0,45200.0,0.04,0.004,0.295,12580391.967,0.058057125328050053,0.9419428746719499,96.0636049461283,,
28410.0,45200.0,0.06,0.011,0.294,12581254.785,0.0584834067502781,0.9415165932497219,96.13200681451798,,
28480.0,45200.0,0.03,0.004,0.294,12581812.923,0.05891692818978097,0.941083071810219,96.19629640951155,,
28550.0,45200.0,0.03,0.004,0.294,12581812.923,0.05891692818978097,0.941083071810219,96.19629640951155,330533.8554992693,310.0752903952627
28620.0,45200.0,0.03,0.006,0.294,12582064.35,0.059357720027960276,0.9406422799720398,96.25642923208761,,
28690.0,45200.0,0.03,0.003,0.294,12582007.143,0.05980581067192352,0.9401941893280765,96.3123626619024,,
28760.0,45200.0,0.03,0.002,0.294,12581639.49,0.060261226446665345,0.9397387735533347,96.36405608972149,,
28830.0,45200.0,0.03,0.002,0.294,12581639.49,0.060261226446665345,0.9397387735533347,96.36405608972149,,
28900.0,45200.0,0.05,0.008,0.294,12580959.701,0.06072399148922221,0.9392760085107777,96.41147104745369,791515.3325851402,246.4315507163536
28970.0,45200.0,0.04,0.006,0.293,12579966.213,0.06119412764573567,0.9388058723542644,96.45457133478557,,
29040.0,45200.0,0.04,0.006,0.293,12579966.213,0.06119412764573567,0.9388058723542644,96.45457133478557,,
29110.0,45200.0,0.02,0.001,0.293,12578657.594,0.0616716543721465,0.9383283456278535,96.49332314124983,,
29180.0,45200.0,0.04,0.008,0.293,12577032.556,0.06215658863951908,0.9378434113604809,96.52769516262968,,
29250.0,45200.0,0.04,0.008,0.293,12577032.556,0.06215658863951908,0.9378434113604809,96.52769516262968,699456.6530501015,253.86422373448636
29320.0,45200.0,0.05,0.01,0.293,12575089.954,0.06264894484498984,0.9373510551550102,96.55765871057838,,
29390.0,45200.0,0.04,0.005,0.293,12572828.795,0.06314873472903422,0.9368512652709657,96.5831878143534,,
29460.0,45200.0,0.04,0.007,0.293,12570248.24,0.06365596729998822,0.9363440327000118,96.60425931360369,,
29530.0,45200.0,0.04,0.007,0.293,12570248.24,0.06365596729998822,0.9363440327000118,96.60425931360369,,
29600.0,45200.0,0.07,0.015,0.293,12567347.615,0.0641706487666633,0.9358293512333367,96.62085294122073,1366159.2317860767,354.75854926021975
29670.0,45200.0,0.04,0.007,0.293,12564126.405,0.06469278247969061,0.9353072175203094,96.63295139537951,,
29740.0,45200.0,0.04,0.007,0.293,12564126.405,0.06469278247969061,0.9353072175203094,96.63295139537951,,
29810.0,45200.0,0.07,0.023,0.293,12560584.266,0.06522236888237722,0.9347776311176228,96.6405403998987,,
29880.0,45200.0,0.04,0.006,0.292,12556721.023,0.06575940547138844,0.9342405945286115,96.64360875232681,,
29950.0,45200.0,0.04,0.006,0.292,12556721.023,0.06575940547138844,0.9342405945286115,96.64360875232681,573209.0431490644,385.75844128121014
30020.0,45200.0,0.04,0.005,0.292,12552536.673,0.06630388676793204,0.9336961132320679,96.64214835910454,,
30090.0,45200.0,0.04,0.008,0.292,12548031.386,0.06685580429966333,0.9331441957003367,96.63615425750282,,
30160.0,45200.0,0.04,0.005,0.292,12543205.505,0.06741514659347787,0.9325848534065221,96.62562462401402,,
30230.0,45200.0,0.04,0.005,0.292,12543205.505,0.06741514659347787,0.9325848534065221,96.62562462401402,,
30300.0,45200.0,0.05,0.008,0.292,12538059.546,0.06798189917935651,0.9320181008206435,96.6105607691671,1342166.5588835892,319.2320808170536
30370.0,45200.0,0.05,0.009,0.292,12532594.198,0.06855604460500699,0.931443955394993,96.59096711881467,,
30440.0,45200.0,0.05,0.009,0.292,12532594.198,0.06855604460500699,0.931443955394993,96.59096711881467,,
30510.0,45200.0,0.03,0.003,0.292,12526810.319,0.06913756246150704,0.930862437538493,96.56685118217153,,
30580.0,45200.0,0.04,0.007,0.292,12520708.936,0.06972642941897944,0.9302735705810206,96.53822350696369,,
30650.0,45200.0,0.04,0.007,0.292,12520708.936,0.06972642941897944,0.9302735705810206,96.53822350696369,904370.362565047,174.54386121789295
30720.0,45200.0,0.04,0.006,0.292,12514291.24,0.07032261927253416,0.9296773807274659,96.50509762230041,,
30790.0,45200.0,0.03,0.005,0.292,12507558.582,0.07092610299750533,0.9290738970024947,96.46748996987371,,
30860.0,45200.0,0.04,0.005,0.292,12500512.472,0.07153684881349646,0.9284631511865036,96.42541982438559,,
30930.0,45200.0,0.04,0.005,0.292,12500512.472,0.07153684881349646,0.9284631511865036,96.42541982438559,,
31000.0,45200.0,0.05,0.011,0.292,12493154.568,0.0721548222563944,0.9278451777436056,96.37890920402415,1135001.9789694466,269.0808061798126
31070.0,45200.0,0.02,0.002,0.292,12485486.679,0.07277998625784328,0.9272200137421567,96.32798277203285,,
31140.0,45200.0,0.02,0.002,0.292,12485486.679,0.07277998625784328,0.9272200137421567,96.32798277203285,,
31210.0,45200.0,0.05,0.012,0.292,12477510.749,0.07341230123084687,0.9265876987691531,96.27266773041536,,
31280.0,45200.0,0.04,0.007,0.292,12469228.861,0.07405172516105614,0.9259482748389438,96.21299370688787,,
31350.0,45200.0,0.04,0.007,0.292,12469228.861,0.07405172516105614,0.9259482748389438,96.21299370688787,696256.7857388887,253.64899185208571
31420.0,45200.0,0.04,0.006,0.292,12460643.224,0.07469821370279339,0.9253017862972066,96.1489926361556,,
31489.0,45200.0,0.05,0.012,0.292,12451756.168,0.07535172027852045,0.9246482797214796,96.08069863671466,,
31559.0,45200.0,0.03,0.003,0.292,12442570.138,0.07601219618139025,0.9239878038186098,96.00814788422726,,
31629.0,45200.0,0.03,0.003,0.292,12442570.138,0.07601219618139025,0.9239878038186098,96.00814788422726,,
31699.0,45200.0,0.03,0.005,0.292,12433087.685,0.07667959067964933,0.9233204093203506,95.9313784825939,950972.8134698011,305.56410381946796
31769.0,45200.0,0.05,0.009,0.292,12423311.463,0.0773538511222051,0.922646148877795,95.85043033372898,,
31839.0,45200.0,0.05,0.009,0.292,12423311.463,0.0773538511222051,0.922646148877795,95.85043033372898,,
31909.0,45200.0,0.04,0.004,0.292,12413244.217,0.07803492304451855,0.9219650769554815,95.76534500705478,,
31979.0,45200.0,0.03,0.003,0.292,12402888.777,0.07872275027417233,0.9212772497258277,95.67616560959462,,
32049.0,45200.0,0.03,0.003,0.292,12402888.777,0.07872275027417233,0.9212772497258277,95.67616560959462,1025187.9963019412,351.01754983490724
32119.0,45200.0,0.06,0.018,0.292,12392248.056,0.07941727503526075,0.9205827249647393,95.58293665754232,,
32189.0,45200.0,0.02,0.002,0.292,12381325.035,0.08011843805130664,0.9198815619486933,95.48570395001262,,
32259.0,45200.0,0.04,0.006,0.292,12370122.764,0.08082617864576586,0.9191738213542342,95.38451444570633,,
32329.0,45200.0,0.04,0.006,0.292,12370122.764,0.08082617864576586,0.9191738213542342,95.38451444570633,,
32399.0,45200.0,0.04,0.006,0.293,12358644.35,0.08154043483997617,0.9184595651600238,95.27941614302637,932093.495197296,332.3981612155569
32469.0,45200.0,0.03,0.003,0.293,12346892.953,0.08226114344796037,0.9177388565520397,95.170457964207,,
32539.0,45200.0,0.03,0.003,0.293,12346892.953,0.08226114344796037,0.9177388565520397,95.170457964207,,
32609.0,45200.0,0.05,0.01,0.293,12334871.78,0.08298824016791154,0.9170117598320885,95.05768964380236,,
32679.0,45200.0,0.04,0.006,0.293,12322584.079,0.08372165966979715,0.9162783403302028,94.9411616219642,,
32749.0,45200.0,0.04,0.006,0.293,12322584.079,0.08372165966979715,0.9162783403302028,94.9411616219642,886039.3755052944,360.946436096651
32819.0,45200.0,0.03,0.003,0.293,12310033.132,0.08446133567917238,0.9155386643208276,94.82092494267421,,
32889.0,45200.0,0.04,0.004,0.293,12297222.254,0.0852072010569171,0.9147927989430829,94.69703115723415,,
32959.0,45200.0,0.04,0.006,0.293,12284154.781,0.08595918787473786,0.9140408121252621,94.56953223304981,,
33029.0,45200.0,0.04,0.006,0.293,12284154.781,0.08595918787473786,0.9140408121252621,94.56953223304981,,
33099.0,45200.0,0.04,0.007,0.293,12270834.073,0.08671722748650601,0.913282772513494,94.43848046783441,840430.4389040511,356.5162988884864
33169.0,45200.0,0.07,0.019,0.293,12257263.504,0.08748125059515637,0.9125187494048437,94.30392840922045,,
33239.0,45200.0,0.07,0.019,0.293,12257263.504,0.08748125059515637,0.9125187494048437,94.30392840922045,,
33309.0,45200.0,0.03,0.003,0.293,12243446.459,0.08825118731561586,0.9117488126843841,94.1659287797784,,
33379.0,45200.0,0.04,0.005,0.294,12229386.334,0.08902696723338381,0.9109730327666162,94.02453440733345,,
33449.0,45200.0,0.04,0.005,0.294,12229386.334,0.08902696723338381,0.9109730327666162,94.02453440733345,1026649.7649562428,282.1701343917763
33519.0,45200.0,0.05,0.01,0.294,12215086.527,0.08980851945896914,0.9101914805410308,93.87979816052368,,
33589.0,45200.0,0.04,0.005,0.294,12200550.438,0.09059577267848982,0.9094042273215102,93.73177288939941,,
33659.0,45200.0,0.07,0.022,0.294,12185781.465,0.09138865520025644,0.9086113447997436,93.5805113709811,,
33729.0,45200.0,0.07,0.022,0.294,12185781.465,0.09138865520025644,0.9086113447997436,93.5805113709811,,
33799.0,45200.0,0.04,0.008,0.294,12170783.001,0.09218709499767047,0.9078129050023296,93.42606625951547,624929.1734408858,233.9677740254873
33869.0,45200.0,0.05,0.01,0.294,12155558.433,0.0929910197485833,0.9070089802514167,93.26849004133486,,
33939.0,45200.0,0.05,0.01,0.294,12155558.433,0.0929910197485833,0.9070089802514167,93.26849004133486,,
34009.0,45200.0,0.04,0.007,0.294,12140111.139,0.09380035687123067,0.9061996431287693,93.10783499400048,,
34079.0,45200.0,0.05,0.011,0.295,12124444.483,0.09461503355674285,0.9053849664432572,92.9441531496127,,
34149.0,45200.0,0.05,0.011,0.295,12124444.483,0.09461503355674285,0.9053849664432572,92.9441531496127,709683.7183601425,294.0528029867739
34219.0,45200.0,0.04,0.007,0.295,12108561.818,0.09543497679885632,0.9045650232011437,92.7774962620276,,
34289.0,45200.0,0.03,0.003,0.295,12092466.482,0.09626011342051749,0.9037398865794826,92.6079157777714,,
34359.0,45200.0,0.04,0.005,0.295,12076161.797,0.09709037009775191,0.9029096299022481,92.43546281042602,,
34429.0,45200.0,0.04,0.005,0.295,12076161.797,0.09709037009775191,0.9029096299022481,92.43546281042602,,
34499.0,45200.0,0.03,0.004,0.295,12059651.065,0.09792567338098893,0.9020743266190111,92.26018811829773,779752.9084781109,363.191567842418
34569.0,45200.0,0.05,0.008,0.295,12042937.571,0.09876594971406637,0.9012340502859336,92.08214208513265,,
34639.0,45200.0,0.05,0.008,0.295,12042937.571,0.09876594971406637,0.9012340502859336,92.08214208513265,,
34709.0,45200.0,0.05,0.007,0.295,12026024.581,0.09961112545080561,0.9003888745491944,91.90137470367384,,
34779.0,45200.0,0.05,0.008,0.296,12008915.339,0.10046112686961674,0.8995388731303833,91.71793556190593,,
34849.0,45200.0,0.05,0.008,0.296,12008915.339,0.10046112686961674,0.8995388731303833,91.71793556190593,1185710.791855703,274.92789787491415
34919.0,45200.0,0.02,0.002,0.296,11991613.069,0.10131588018617466,0.8986841198138253,91.53187383172335,,
34989.0,45200.0,0.04,0.006,0.296,11974120.971,0.1021753115641416,0.8978246884358584,91.34323825991466,,
35059.0,45200.0,0.06,0.017,0.296,11956442.226,0.10303934712441268,0.8969606528755873,91.15207716124662,,
35129.0,45200.0,0.06,0.017,0.296,11956442.226,0.10303934712441268,0.8969606528755873,91.15207716124662,,
