easting,northing,porosity,permeability,Poisson's ratio,Young's Modulus,water saturation,oil saturation,thickness (ft),proppant weight (lbs),pump rate (cubic feet/min)
51900.0,1400.0,0.06,0.015,0.298,8175841.521,0.1806240093017115,0.8193759906982885,5.0,793934.952803718,344.94629813608867
51916.0,1400.0,0.06,0.015,0.298,8175841.521,0.1806240093017115,0.8193759906982885,5.0,,
51932.0,1400.0,0.06,0.015,0.298,8175841.521,0.1806240093017115,0.8193759906982885,5.0,668975.2896864259,297.27333474296904
51948.0,1400.0,0.06,0.015,0.298,8175841.521,0.1806240093017115,0.8193759906982885,5.0,,
51964.0,1400.0,0.07,0.019,0.298,8155206.018,0.18026417455354649,0.8197358254464535,5.0,1788022.0012618487,267.8759805469505
51980.0,1400.0,0.07,0.019,0.298,8155206.018,0.18026417455354649,0.8197358254464535,5.0,,
51996.0,1400.0,0.07,0.019,0.298,8155206.018,0.18026417455354649,0.8197358254464535,5.0,900674.0335792727,325.20933652483257
52012.0,1400.0,0.07,0.019,0.298,8155206.018,0.18026417455354649,0.8197358254464535,5.0,,
52028.0,1400.0,0.07,0.019,0.298,8155206.018,0.18026417455354649,0.8197358254464535,5.0,758086.1924338489,292.1053037151778
52045.0,1400.0,0.07,0.019,0.298,8155206.018,0.18026417455354649,0.8197358254464535,5.0,,
52061.0,1400.0,0.09,0.037,0.298,8134402.468,0.17990201983465828,0.8200979801653417,5.0,1155737.1487565371,224.46610822045142
52077.0,1400.0,0.09,0.037,0.298,8134402.468,0.17990201983465828,0.8200979801653417,5.0,,
52093.0,1400.0,0.09,0.037,0.298,8134402.468,0.17990201983465828,0.8200979801653417,5.0,1187519.3878640854,295.0363624269732
52109.0,1400.0,0.09,0.037,0.298,8134402.468,0.17990201983465828,0.8200979801653417,5.0,,
52125.0,1400.0,0.09,0.037,0.298,8134402.468,0.17990201983465828,0.8200979801653417,5.0,792482.47485834,334.03352411795885
52141.0,1400.0,0.09,0.037,0.298,8134402.468,0.17990201983465828,0.8200979801653417,5.0,,
52157.0,1400.0,0.07,0.021,0.298,8113432.958,0.17953755765410137,0.8204624423458986,5.0,685011.6862899284,296.1124571444097
52173.0,1400.0,0.07,0.021,0.298,8113432.958,0.17953755765410137,0.8204624423458986,5.0,,
52189.0,1400.0,0.07,0.021,0.298,8113432.958,0.17953755765410137,0.8204624423458986,5.0,907941.0090724692,245.68014753487162
52205.0,1400.0,0.07,0.021,0.298,8113432.958,0.17953755765410137,0.8204624423458986,5.0,,
52221.0,1400.0,0.07,0.021,0.298,8113432.958,0.17953755765410137,0.8204624423458986,5.0,1455164.4546114586,299.51860291535525
52237.0,1400.0,0.07,0.021,0.298,8113432.958,0.17953755765410137,0.8204624423458986,5.0,,
52253.0,1400.0,0.07,0.027,0.298,8092299.621,0.17917080095184462,0.8208291990481553,5.0,2024546.7978001144,313.76981580891294
52269.0,1400.0,0.07,0.027,0.298,8092299.621,0.17917080095184462,0.8208291990481553,5.0,,
52285.0,1400.0,0.07,0.027,0.298,8092299.621,0.17917080095184462,0.8208291990481553,5.0,1000356.2359817289,272.81164103659125
52301.0,1400.0,0.07,0.027,0.298,8092299.621,0.17917080095184462,0.8208291990481553,5.0,,
52318.0,1400.0,0.07,0.027,0.298,8092299.621,0.17917080095184462,0.8208291990481553,5.0,930413.370387917,366.41479137092614
52334.0,1400.0,0.07,0.027,0.298,8092299.621,0.17917080095184462,0.8208291990481553,5.0,,
52350.0,1400.0,0.07,0.027,0.298,8092299.621,0.17917080095184462,0.8208291990481553,5.0,849117.7088704804,264.3954642778336
52366.0,1400.0,0.06,0.015,0.298,8071004.64,0.17880176309340717,0.8211982369065929,5.0,,
52382.0,1400.0,0.06,0.015,0.298,8071004.64,0.17880176309340717,0.8211982369065929,5.0,1042847.2141462736,261.7103102857191
52398.0,1400.0,0.06,0.015,0.298,8071004.64,0.17880176309340717,0.8211982369065929,5.0,,
52414.0,1400.0,0.06,0.015,0.298,8071004.64,0.17880176309340717,0.8211982369065929,5.0,1086472.3042626372,400.790764547319
52430.0,1400.0,0.06,0.015,0.298,8071004.64,0.17880176309340717,0.8211982369065929,5.0,,
52446.0,1400.0,0.06,0.015,0.298,8071004.64,0.17880176309340717,0.8211982369065929,5.0,515270.7692909185,288.39923774818277
52462.0,1400.0,0.09,0.028,0.298,8049550.239,0.1784304578649023,0.8215695421350977,5.0,,
52478.0,1400.0,0.09,0.028,0.298,8049550.239,0.1784304578649023,0.8215695421350977,5.0,427961.5735004054,285.9885270257019
52494.0,1400.0,0.09,0.028,0.298,8049550.239,0.1784304578649023,0.8215695421350977,5.0,,
52510.0,1400.0,0.09,0.028,0.298,8049550.239,0.1784304578649023,0.8215695421350977,5.0,739535.3682220241,396.73751559381446
52526.0,1400.0,0.09,0.028,0.298,8049550.239,0.1784304578649023,0.8215695421350977,5.0,,
52542.0,1400.0,0.09,0.028,0.298,8049550.239,0.1784304578649023,0.8215695421350977,5.0,796689.0423076167,285.00473640051035
52558.0,1400.0,0.07,0.024,0.298,8027938.691,0.1780568994677523,0.8219431005322477,5.0,,
52575.0,1400.0,0.07,0.024,0.298,8027938.691,0.1780568994677523,0.8219431005322477,5.0,664556.0947037067,266.17359276368666
52591.0,1400.0,0.07,0.024,0.298,8027938.691,0.1780568994677523,0.8219431005322477,5.0,,
52607.0,1400.0,0.07,0.024,0.298,8027938.691,0.1780568994677523,0.8219431005322477,5.0,1275474.9750028385,279.099321684824
52623.0,1400.0,0.07,0.024,0.298,8027938.691,0.1780568994677523,0.8219431005322477,5.0,,
52639.0,1400.0,0.07,0.024,0.298,8027938.691,0.1780568994677523,0.8219431005322477,5.0,1663061.0385440323,304.9010375747067
52655.0,1400.0,0.1,0.039,0.298,8006172.308,0.17768110251327107,0.8223188974867289,5.0,,
52671.0,1400.0,0.1,0.039,0.298,8006172.308,0.17768110251327107,0.8223188974867289,5.0,1007792.8053043684,292.96434508608746
52687.0,1400.0,0.1,0.039,0.298,8006172.308,0.17768110251327107,0.8223188974867289,5.0,,
52703.0,1400.0,0.1,0.039,0.298,8006172.308,0.17768110251327107,0.8223188974867289,5.0,713921.0819903938,246.48659656816884
52719.0,1400.0,0.1,0.039,0.298,8006172.308,0.17768110251327107,0.8223188974867289,5.0,,
52735.0,1400.0,0.1,0.039,0.298,8006172.308,0.17768110251327107,0.8223188974867289,5.0,1034768.8623176059,331.73186960041073
52751.0,1400.0,0.06,0.014,0.298,7984253.447,0.17730308201721912,0.8226969179827809,5.0,,
52767.0,1400.0,0.06,0.014,0.298,7984253.447,0.17730308201721912,0.8226969179827809,5.0,1569216.0803010347,334.43430243858023
52783.0,1400.0,0.06,0.014,0.298,7984253.447,0.17730308201721912,0.8226969179827809,5.0,,
52799.0,1400.0,0.06,0.014,0.298,7984253.447,0.17730308201721912,0.8226969179827809,5.0,249025.47257570675,243.1725255204475
52815.0,1400.0,0.06,0.014,0.298,7984253.447,0.17730308201721912,0.8226969179827809,5.0,,
52831.0,1400.0,0.06,0.014,0.298,7984253.447,0.17730308201721912,0.8226969179827809,5.0,1489648.824418173,407.885257693265
52848.0,1400.0,0.06,0.014,0.298,7984253.447,0.17730308201721912,0.8226969179827809,5.0,,
52864.0,1400.0,0.06,0.015,0.298,7962184.503,0.17692285339447525,0.8230771466055248,5.0,1091514.6092771064,355.0266256785947
52880.0,1400.0,0.06,0.015,0.298,7962184.503,0.17692285339447525,0.8230771466055248,5.0,,
52896.0,1400.0,0.06,0.015,0.298,7962184.503,0.17692285339447525,0.8230771466055248,5.0,625437.6726124645,304.16424714929144
52912.0,1400.0,0.06,0.015,0.298,7962184.503,0.17692285339447525,0.8230771466055248,5.0,,
52928.0,1400.0,0.06,0.015,0.298,7962184.503,0.17692285339447525,0.8230771466055248,5.0,1081069.918771939,336.3771545692641
