easting,northing,porosity,permeability,Poisson's ratio,Young's Modulus,water saturation,oil saturation,thickness (ft),proppant weight (lbs),pump rate (cubic feet/min)
58200.0,76200.0,0.06,0.012,0.314,9759416.186,0.018901210441390454,0.9810987895586095,66.06405341279627,1241642.6306779615,321.5575267458719
58229.0,76200.0,0.06,0.012,0.314,9759416.186,0.018901210441390454,0.9810987895586095,66.06405341279627,,
58258.0,76200.0,0.06,0.01,0.314,9762350.167,0.019430061816393132,0.9805699381836068,66.35207923929595,,
58287.0,76200.0,0.06,0.01,0.314,9762350.167,0.019430061816393132,0.9805699381836068,66.35207923929595,,
58316.0,76200.0,0.06,0.01,0.314,9762350.167,0.019430061816393132,0.9805699381836068,66.35207923929595,,
58346.0,76200.0,0.06,0.01,0.314,9762350.167,0.019430061816393132,0.9805699381836068,66.35207923929595,,
58375.0,76200.0,0.06,0.013,0.314,9765291.568,0.019961876123272937,0.9800381238767271,66.63946698164119,,
58404.0,76200.0,0.06,0.013,0.314,9765291.568,0.019961876123272937,0.9800381238767271,66.63946698164119,,
58433.0,76200.0,0.06,0.013,0.314,9765291.568,0.019961876123272937,0.9800381238767271,66.63946698164119,,
58462.0,76200.0,0.06,0.015,0.315,9768240.251,0.020496548603671002,0.979503451396329,66.92618859553971,,
58491.0,76200.0,0.06,0.015,0.315,9768240.251,0.020496548603671002,0.979503451396329,66.92618859553971,,
58520.0,76200.0,0.06,0.015,0.315,9768240.251,0.020496548603671002,0.979503451396329,66.92618859553971,,
58549.0,76200.0,0.06,0.015,0.315,9768240.251,0.020496548603671002,0.979503451396329,66.92618859553971,,
58578.0,76200.0,0.05,0.012,0.315,9771196.048,0.021033975546106625,0.9789660244538934,67.21221585722752,,
58607.0,76200.0,0.05,0.012,0.315,9771196.048,0.021033975546106625,0.9789660244538934,67.21221585722752,,
58637.0,76200.0,0.05,0.012,0.315,9771196.048,0.021033975546106625,0.9789660244538934,67.21221585722752,,
58666.0,76200.0,0.05,0.009,0.315,9774158.764,0.021574054323427686,0.9784259456765723,67.49752036423968,,
58695.0,76200.0,0.05,0.009,0.315,9774158.764,0.021574054323427686,0.9784259456765723,67.49752036423968,,
58724.0,76200.0,0.05,0.009,0.315,9774158.764,0.021574054323427686,0.9784259456765723,67.49752036423968,,
58753.0,76200.0,0.04,0.007,0.315,9777128.173,0.022116683430293604,0.9778833165697064,67.78207353629463,,
58782.0,76200.0,0.04,0.007,0.315,9777128.173,0.022116683430293604,0.9778833165697064,67.78207353629463,,
58811.0,76200.0,0.04,0.007,0.315,9777128.173,0.022116683430293604,0.9778833165697064,67.78207353629463,,
58840.0,76200.0,0.04,0.007,0.315,9777128.173,0.022116683430293604,0.9778833165697064,67.78207353629463,,
58869.0,76200.0,0.01,0.001,0.315,9780104.025,0.022661762520855225,0.9773382374791447,68.06584661610216,,
58898.0,76200.0,0.01,0.001,0.315,9780104.025,0.022661762520855225,0.9773382374791447,68.06584661610216,,
58928.0,76200.0,0.01,0.001,0.315,9780104.025,0.022661762520855225,0.9773382374791447,68.06584661610216,657296.5514150476,253.53695757693944
58957.0,76200.0,0.04,0.007,0.315,9783086.041,0.023209192446374045,0.9767908075536259,68.34881067018979,,
58986.0,76200.0,0.04,0.007,0.315,9783086.041,0.023209192446374045,0.9767908075536259,68.34881067018979,,
59015.0,76200.0,0.04,0.007,0.315,9783086.041,0.023209192446374045,0.9767908075536259,68.34881067018979,,
59044.0,76200.0,0.04,0.007,0.315,9783086.041,0.023209192446374045,0.9767908075536259,68.34881067018979,,
59073.0,76200.0,0.04,0.006,0.315,9786073.918,0.02375887529304991,0.9762411247069501,68.63093658968428,,
59102.0,76200.0,0.04,0.006,0.315,9786073.918,0.02375887529304991,0.9762411247069501,68.63093658968428,,
59131.0,76200.0,0.04,0.006,0.315,9786073.918,0.02375887529304991,0.9762411247069501,68.63093658968428,,
59160.0,76200.0,0.04,0.004,0.315,9789067.327,0.024310714419930834,0.9756892855800692,68.9121950911392,,
59190.0,76200.0,0.04,0.004,0.315,9789067.327,0.024310714419930834,0.9756892855800692,68.9121950911392,,
59219.0,76200.0,0.04,0.004,0.315,9789067.327,0.024310714419930834,0.9756892855800692,68.9121950911392,,
59248.0,76200.0,0.04,0.004,0.315,9789067.327,0.024310714419930834,0.9756892855800692,68.9121950911392,,
59277.0,76200.0,0.03,0.003,0.315,9792065.914,0.02486461449699562,0.9751353855030044,69.19255671727646,,
59306.0,76200.0,0.03,0.003,0.315,9792065.914,0.02486461449699562,0.9751353855030044,69.19255671727646,,
59335.0,76200.0,0.03,0.003,0.315,9792065.914,0.02486461449699562,0.9751353855030044,69.19255671727646,,
59364.0,76200.0,0.05,0.013,0.315,9795069.303,0.02542048154332043,0.9745795184566796,69.47199183782332,,
59393.0,76200.0,0.05,0.013,0.315,9795069.303,0.02542048154332043,0.9745795184566796,69.47199183782332,,
59422.0,76200.0,0.05,0.013,0.315,9795069.303,0.02542048154332043,0.9745795184566796,69.47199183782332,,
59451.0,76200.0,0.07,0.013,0.315,9798077.093,0.02597822296548312,0.9740217770345169,69.75047065024665,,
59481.0,76200.0,0.07,0.013,0.315,9798077.093,0.02597822296548312,0.9740217770345169,69.75047065024665,,
59510.0,76200.0,0.07,0.013,0.315,9798077.093,0.02597822296548312,0.9740217770345169,69.75047065024665,,
59539.0,76200.0,0.07,0.013,0.315,9798077.093,0.02597822296548312,0.9740217770345169,69.75047065024665,,
59568.0,76200.0,0.04,0.007,0.315,9801088.861,0.026537747596052867,0.9734622524039471,70.02796318056036,,
59597.0,76200.0,0.04,0.007,0.315,9801088.861,0.026537747596052867,0.9734622524039471,70.02796318056036,,
59626.0,76200.0,0.04,0.007,0.315,9801088.861,0.026537747596052867,0.9734622524039471,70.02796318056036,,
59655.0,76200.0,0.04,0.006,0.315,9804104.165,0.027098965732338755,0.9729010342676613,70.30443928408224,360756.6464606047,344.2877340917432
59684.0,76200.0,0.04,0.006,0.315,9804104.165,0.027098965732338755,0.9729010342676613,70.30443928408224,,
59713.0,76200.0,0.04,0.006,0.315,9804104.165,0.027098965732338755,0.9729010342676613,70.30443928408224,,
59742.0,76200.0,0.04,0.006,0.315,9804104.165,0.027098965732338755,0.9729010342676613,70.30443928408224,,
59772.0,76200.0,0.03,0.004,0.315,9807122.537,0.02766178917525936,0.9723382108247406,70.57986864620771,,
59801.0,76200.0,0.03,0.004,0.315,9807122.537,0.02766178917525936,0.9723382108247406,70.57986864620771,,
59830.0,76200.0,0.03,0.004,0.315,9807122.537,0.02766178917525936,0.9723382108247406,70.57986864620771,,
59859.0,76200.0,0.06,0.013,0.315,9810143.493,0.028226131268401868,0.9717738687315981,70.85422078319121,,
59888.0,76200.0,0.06,0.013,0.315,9810143.493,0.028226131268401868,0.9717738687315981,70.85422078319121,,
59917.0,76200.0,0.06,0.013,0.315,9810143.493,0.028226131268401868,0.9717738687315981,70.85422078319121,,
59946.0,76200.0,0.06,0.013,0.315,9810143.493,0.028226131268401868,0.9717738687315981,70.85422078319121,,
59975.0,76200.0,0.06,0.012,0.316,9813166.528,0.028791906937334067,0.971208093062666,71.12746504294859,,
60004.0,76200.0,0.06,0.012,0.316,9813166.528,0.028791906937334067,0.971208093062666,71.12746504294859,,
60034.0,76200.0,0.06,0.012,0.316,9813166.528,0.028791906937334067,0.971208093062666,71.12746504294859,,
60063.0,76200.0,0.03,0.003,0.316,9816191.117,0.029359032729064868,0.9706409672709352,71.39957060582276,,
60092.0,76200.0,0.03,0.003,0.316,9816191.117,0.029359032729064868,0.9706409672709352,71.39957060582276,,
60121.0,76200.0,0.03,0.003,0.316,9816191.117,0.029359032729064868,0.9706409672709352,71.39957060582276,,
60150.0,76200.0,0.03,0.003,0.316,9816191.117,0.029359032729064868,0.9706409672709352,71.39957060582276,,
60179.0,76200.0,0.04,0.006,0.316,9819216.719,0.029927426851649074,0.9700725731483509,71.67050648537302,,
60208.0,76200.0,0.04,0.006,0.316,9819216.719,0.029927426851649074,0.9700725731483509,71.67050648537302,,
60237.0,76200.0,0.04,0.006,0.316,9819216.719,0.029927426851649074,0.9700725731483509,71.67050648537302,,
60266.0,76200.0,0.06,0.017,0.316,9822242.773,0.030497009214084676,0.9695029907859153,71.94024152922873,,
60295.0,76200.0,0.06,0.017,0.316,9822242.773,0.030497009214084676,0.9695029907859153,71.94024152922873,,
60325.0,76200.0,0.06,0.017,0.316,9822242.773,0.030497009214084676,0.9695029907859153,71.94024152922873,,
60354.0,76200.0,0.07,0.013,0.316,9825268.704,0.03106770146631816,0.9689322985336818,72.20874441987878,,
60383.0,76200.0,0.07,0.013,0.316,9825268.704,0.03106770146631816,0.9689322985336818,72.20874441987878,1038757.7775787823,277.88072033980126
60412.0,76200.0,0.07,0.013,0.316,9825268.704,0.03106770146631816,0.9689322985336818,72.20874441987878,,
60441.0,76200.0,0.07,0.013,0.316,9825268.704,0.03106770146631816,0.9689322985336818,72.20874441987878,,
60470.0,76200.0,0.05,0.014,0.316,9828293.917,0.03163942703945317,0.9683605729605468,72.47598367551487,,
60499.0,76200.0,0.05,0.014,0.316,9828293.917,0.03163942703945317,0.9683605729605468,72.47598367551487,,
60528.0,76200.0,0.05,0.014,0.316,9828293.917,0.03163942703945317,0.9683605729605468,72.47598367551487,,
60557.0,76200.0,0.05,0.011,0.316,9831317.805,0.03221211118612711,0.9677878888138729,72.74192765091688,,
60586.0,76200.0,0.05,0.011,0.316,9831317.805,0.03221211118612711,0.9677878888138729,72.74192765091688,,
60616.0,76200.0,0.05,0.011,0.316,9831317.805,0.03221211118612711,0.9677878888138729,72.74192765091688,,
60645.0,76200.0,0.05,0.011,0.316,9831317.805,0.03221211118612711,0.9677878888138729,72.74192765091688,,
