easting,northing,porosity,permeability,Poisson's ratio,Young's Modulus,water saturation,oil saturation,thickness (ft),proppant weight (lbs),pump rate (cubic feet/min)
35900.0,37200.0,0.05,0.01,0.332,12117636.28,0.13618025536308723,0.8638197446369128,100.27327269030305,825185.2571717863,294.4687730128618
35976.0,37200.0,0.05,0.009,0.332,12099192.784,0.13712934835436807,0.8628706516456319,100.33374666523397,,
36052.0,37200.0,0.06,0.016,0.332,12080604.03,0.13808138169444165,0.8619186183055584,100.39252133410703,437843.6985509606,355.7136973079839
36128.0,37200.0,0.06,0.016,0.332,12080604.03,0.13808138169444165,0.8619186183055584,100.39252133410703,,
36204.0,37200.0,0.06,0.013,0.331,12061872.199,0.13903627075216995,0.86096372924783,100.44962052570743,454715.7443375012,310.86688964210583
36280.0,37200.0,0.07,0.016,0.331,12042999.48,0.13999393059956278,0.8600060694004372,100.50506815894089,,
36356.0,37200.0,0.06,0.016,0.331,12023988.081,0.1409542760232642,0.8590457239767357,100.55888823387079,1456718.601537553,321.6392815226193
36432.0,37200.0,0.06,0.016,0.331,12023988.081,0.1409542760232642,0.8590457239767357,100.55888823387079,,
36508.0,37200.0,0.07,0.02,0.331,12004840.218,0.1419172215350718,0.8580827784649282,100.61110482275969,1640721.6168174176,208.42664395162134
36584.0,37200.0,0.07,0.023,0.331,11985558.124,0.14288268138190097,0.857117318618099,100.66174206104085,,
36660.0,37200.0,0.04,0.005,0.331,11966144.042,0.1438505695550138,0.8561494304449861,100.71082413830173,1284610.6130667592,200.92331856441655
36737.0,37200.0,0.04,0.005,0.331,11966144.042,0.1438505695550138,0.8561494304449861,100.71082413830173,,
36813.0,37200.0,0.05,0.008,0.331,11946600.227,0.1448207997986848,0.8551792002013152,100.75837528923313,640739.6726372744,314.5353616274368
36889.0,37200.0,0.09,0.029,0.331,11926928.948,0.14579328561808416,0.8542067143819159,100.80441978455134,,
36965.0,37200.0,0.07,0.023,0.331,11907132.485,0.1467679402868023,0.8532320597131977,100.84898192192547,733297.3790140663,338.5648848730736
37041.0,37200.0,0.07,0.023,0.331,11907132.485,0.1467679402868023,0.8532320597131977,100.84898192192547,,
37117.0,37200.0,0.06,0.014,0.331,11887213.127,0.1477446768536184,0.8522553231463816,100.89208601687795,674340.571766671,372.93019832323216
37193.0,37200.0,0.06,0.011,0.331,11867173.177,0.14872340814889345,0.8512765918511065,100.93375639365719,,
37269.0,37200.0,0.04,0.007,0.331,11847014.948,0.14970404679030902,0.850295953209691,100.97401737613895,676231.9615328235,248.67236606366748
37345.0,37200.0,0.04,0.007,0.331,11847014.948,0.14970404679030902,0.850295953209691,100.97401737613895,,
37421.0,37200.0,0.07,0.02,0.33,11826740.764,0.15068650518821847,0.8493134948117815,101.0128932786757,609456.7912696197,272.90229925755267
37497.0,37200.0,0.07,0.025,0.33,11806352.958,0.15167069555056412,0.8483293044494359,101.05040839696808,,
37573.0,37200.0,0.05,0.01,0.33,11785853.877,0.1526565298872719,0.847343470112728,101.08658699891512,826397.3672385664,269.0647082575551
37649.0,37200.0,0.05,0.01,0.33,11785853.877,0.1526565298872719,0.847343470112728,101.08658699891512,,
37725.0,37200.0,0.04,0.005,0.33,11765245.874,0.153643920014343,0.846356079985657,101.12145331545061,570129.1569155189,208.1817365818236
37801.0,37200.0,0.08,0.022,0.33,11744531.315,0.15463277755746568,0.8453672224425344,101.1550315314015,,
37877.0,37200.0,0.06,0.016,0.33,11723712.574,0.15562301395537187,0.8443769860446282,101.18734577630308,47578.666903012134,394.5711292327838
37953.0,37200.0,0.06,0.011,0.33,11702792.036,0.15661454046276946,0.8433854595372305,101.21842011524303,,
38029.0,37200.0,0.06,0.011,0.33,11702792.036,0.15661454046276946,0.8433854595372305,101.21842011524303,1305273.653282485,286.65912968843503
38105.0,37200.0,0.04,0.006,0.33,11681772.095,0.1576072681530271,0.8423927318469728,101.2482785396852,,
38181.0,37200.0,0.03,0.003,0.33,11660655.155,0.1586011079204555,0.8413988920795445,101.27694495827838,438753.8575551942,313.1240623952027
38257.0,37200.0,0.07,0.015,0.33,11639443.629,0.15959597048252833,0.8404040295174717,101.30444318768646,,
38334.0,37200.0,0.07,0.015,0.33,11639443.629,0.15959597048252833,0.8404040295174717,101.30444318768646,1227366.949990413,282.61894026738963
38410.0,37200.0,0.05,0.008,0.33,11618139.939,0.16059176638159256,0.8394082336184074,101.3307969433921,,
38486.0,37200.0,0.05,0.012,0.33,11596746.516,0.16158840598658789,0.8384115940134121,101.35602983051541,484055.91872923996,331.1138939929925
38562.0,37200.0,0.04,0.006,0.329,11575265.802,0.16258579949440252,0.8374142005055975,101.38016533459654,,
38638.0,37200.0,0.04,0.006,0.329,11575265.802,0.16258579949440252,0.8374142005055975,101.38016533459654,740623.5392499559,351.30476389738743
38714.0,37200.0,0.06,0.018,0.329,11553700.246,0.16358385693102168,0.8364161430689783,101.40322681242128,,
38790.0,37200.0,0.07,0.021,0.329,11532052.305,0.1645824881526726,0.8354175118473274,101.42523748279685,831894.550860328,264.4570327162918
38866.0,37200.0,0.05,0.009,0.329,11510324.448,0.16558160284666815,0.8344183971533319,101.44622041734891,,
38942.0,37200.0,0.05,0.009,0.329,11510324.448,0.16558160284666815,0.8344183971533319,101.44622041734891,857599.7406330544,277.5357842134299
39018.0,37200.0,0.05,0.013,0.329,11488519.149,0.16658111053205066,0.8334188894679493,101.4661985313116,,
39094.0,37200.0,0.07,0.018,0.329,11466638.895,0.16758092056040513,0.8324190794395949,101.48519457430626,963900.2533613462,309.61649093447147
39170.0,37200.0,0.05,0.012,0.329,11444686.177,0.1685809421162821,0.831419057883718,101.5032311211113,,
39246.0,37200.0,0.05,0.012,0.329,11444686.177,0.1685809421162821,0.831419057883718,101.5032311211113,1419988.2617268441,426.67954123635917
39322.0,37200.0,0.05,0.011,0.329,11422663.499,0.1695810842175675,0.8304189157824324,101.52033056245995,,
39398.0,37200.0,0.03,0.003,0.329,11400573.369,0.1705812557160332,0.8294187442839668,101.53651509578742,591693.3138237854,269.38371265892164
39474.0,37200.0,0.08,0.025,0.329,11378418.307,0.17158136529750329,0.8284186347024967,101.55180671600684,,
39550.0,37200.0,0.07,0.016,0.329,11356200.84,0.17258132148224545,0.8274186785177545,101.56622720628269,945414.7060221734,258.7960039421417
39626.0,37200.0,0.07,0.016,0.329,11356200.84,0.17258132148224545,0.8274186785177545,101.56622720628269,,
39702.0,37200.0,0.06,0.015,0.329,11333923.503,0.17358103262521724,0.8264189673747828,101.57979812878621,319245.2647006927,311.73809717936905
39778.0,37200.0,0.05,0.011,0.329,11311588.841,0.1745804069163159,0.8254195930836841,101.59254081547029,,
39854.0,37200.0,0.06,0.018,0.328,11289199.406,0.17557935238071984,0.8244206476192801,101.6044763588158,1327110.626201484,344.3064177026491
39931.0,37200.0,0.06,0.018,0.328,11289199.406,0.17557935238071984,0.8244206476192801,101.6044763588158,,
40007.0,37200.0,0.06,0.018,0.328,11266757.757,0.1765777768791566,0.8234222231208435,101.6156256026297,796317.2408086327,432.2966940310064
40083.0,37200.0,0.07,0.018,0.328,11244266.463,0.17757558810829266,0.8224244118917073,101.62600913279293,,
40159.0,37200.0,0.04,0.006,0.328,11221728.102,0.17857269360117578,0.8214273063988242,101.6356472680586,722030.1134405991,338.075609210587
40235.0,37200.0,0.04,0.006,0.328,11221728.102,0.17857269360117578,0.8214273063988242,101.6356472680586,,
40311.0,37200.0,0.07,0.015,0.328,11199145.258,0.17956900072777626,0.8204309992722237,101.64456005082369,825642.9313697894,267.22096462430534
40387.0,37200.0,0.05,0.01,0.328,11176520.524,0.18056441669547668,0.8194355833045233,101.65276723795317,,
40463.0,37200.0,0.04,0.007,0.328,11153856.501,0.18155884854992374,0.8184411514500762,101.66028829158124,616845.1382753308,239.39432106898784
40539.0,37200.0,0.04,0.007,0.328,11153856.501,0.18155884854992374,0.8184411514500762,101.66028829158124,,
40615.0,37200.0,0.06,0.012,0.328,11131155.799,0.18255220317585405,0.8174477968241459,101.66714236995443,766983.6898205539,241.0401959340096
40691.0,37200.0,0.06,0.013,0.328,11108421.034,0.1835443872979894,0.8164556127020106,101.67334831829585,,
40767.0,37200.0,0.05,0.012,0.328,11085654.831,0.18453530748231228,0.8154646925176877,101.67892465969646,2076409.4838494097,384.82918274102514
40843.0,37200.0,0.05,0.012,0.328,11085654.831,0.18453530748231228,0.8154646925176877,101.67892465969646,,
40919.0,37200.0,0.06,0.013,0.328,11062859.823,0.18552487013733143,0.8144751298626686,101.6838895860221,743093.2668774503,188.01281067602145
40995.0,37200.0,0.07,0.02,0.328,11040038.651,0.18651298151558182,0.8134870184844182,101.68826094890571,,
41071.0,37200.0,0.06,0.017,0.328,11017193.964,0.1874995477154837,0.8125004522845163,101.69205625072367,692059.93186914,285.83768643048194
41147.0,37200.0,0.06,0.017,0.328,11017193.964,0.1874995477154837,0.8125004522845163,101.69205625072367,,
