easting,northing,porosity,permeability,Poisson's ratio,Young's Modulus,water saturation,oil saturation,thickness (ft),proppant weight (lbs),pump rate (cubic feet/min)
79800.0,28800.0,0.09,0.039,0.303,9896846.458,0.09600535921529155,0.9039946407847085,74.66497321078229,679460.254648981,217.39297899265
79891.0,28800.0,0.09,0.041,0.303,9900663.346,0.09528601070009957,0.9047139892999004,74.36259020530224,,
79981.0,28800.0,0.08,0.024,0.303,9904537.257,0.09456634712843362,0.9054336528715664,74.05995569452337,662824.0789788531,364.3172114575588
80072.0,28800.0,0.08,0.029,0.304,9908467.672,0.09384638809788046,0.9061536119021195,73.75707948540655,,
80163.0,28800.0,0.07,0.014,0.304,9912454.054,0.09312615385256504,0.9068738461474349,73.45397130093464,563239.347986223,359.26344050321836
80253.0,28800.0,0.07,0.023,0.304,9916495.854,0.09240566529081573,0.9075943347091843,73.15064078552287,,
80344.0,28800.0,0.07,0.023,0.304,9916495.854,0.09240566529081573,0.9075943347091843,73.15064078552287,958505.2285509171,368.530352923032
80434.0,28800.0,0.08,0.026,0.304,9920592.507,0.09168494397292845,0.9083150560270715,72.84709751016162,,
80525.0,28800.0,0.07,0.018,0.304,9924743.438,0.09096401212969028,0.9090359878703097,72.54335097774619,439720.5694729661,331.9619989188842
80616.0,28800.0,0.07,0.018,0.304,9928948.055,0.09024289267122726,0.9097571073287727,72.23941062805065,,
80706.0,28800.0,0.06,0.015,0.304,9933205.76,0.08952160919619212,0.9104783908038079,71.93528584288391,576014.1581524943,254.42209612809285
80797.0,28800.0,0.06,0.015,0.304,9937515.939,0.08880018600174709,0.9111998139982529,71.630985951097,,
80888.0,28800.0,0.06,0.013,0.304,9941877.972,0.08807864809369996,0.9119213519063001,71.3265202335422,650182.981054795,233.70535035861417
80978.0,28800.0,0.07,0.024,0.304,9946291.226,0.08735702119741184,0.9126429788025882,71.02189792802612,,
81069.0,28800.0,0.08,0.027,0.304,9950755.062,0.08663533176898798,0.913364668231012,70.71712823421888,579780.8201764713,370.7512134307209
81160.0,28800.0,0.08,0.024,0.304,9955268.831,0.08591360700728781,0.9140863929927122,70.41222031851335,,
81250.0,28800.0,0.07,0.019,0.305,9959831.878,0.08519187486618339,0.9148081251338166,70.10718331889804,1367199.9401210037,335.9673093952367
81341.0,28800.0,0.07,0.019,0.305,9959831.878,0.08519187486618339,0.9148081251338166,70.10718331889804,,
81432.0,28800.0,0.07,0.023,0.305,9964443.542,0.08447016406756765,0.9155298359324323,69.80202634980944,1363310.01051379,373.32836748521925
81522.0,28800.0,0.06,0.018,0.305,9969103.153,0.08374850411498368,0.9162514958850163,69.49675850693397,,
81613.0,28800.0,0.06,0.013,0.305,9973810.038,0.08302692530769261,0.9169730746923074,69.19138887203654,914177.7713144085,319.2603339532274
81703.0,28800.0,0.07,0.029,0.305,9978563.52,0.08230545875555624,0.9176945412444437,68.88592651781838,,
81794.0,28800.0,0.09,0.034,0.305,9983362.916,0.08158413639444743,0.9184158636055526,68.58038051270489,438247.50739808974,246.04122577665157
81885.0,28800.0,0.08,0.032,0.305,9988207.541,0.0808629910024286,0.9191370089975714,68.27475992573677,,
