easting,northing,porosity,permeability,Poisson's ratio,Young's Modulus,water saturation,oil saturation,thickness (ft),proppant weight (lbs),pump rate (cubic feet/min)
36600.0,100.0,0.07,0.019,0.3,8845735.178,0.21138210102545035,0.7886178989745496,18.305945325865704,621523.4746625631,269.4020144890826
36703.0,100.0,0.06,0.014,0.3,8851006.04,0.21128394401815764,0.7887160559818424,18.14578000078466,,
36805.0,100.0,0.04,0.003,0.3,8856156.621,0.21118508538699535,0.7888149146130047,17.983795293371525,,
36908.0,100.0,0.08,0.022,0.3,8861186.438,0.21108550995867842,0.7889144900413216,17.82002264132481,,
37011.0,100.0,0.06,0.017,0.3,8866095.0,0.21098520250725436,0.7890147974927456,17.654493647525463,,
37113.0,100.0,0.05,0.009,0.3,8870881.813,0.21088414775618802,0.789115852243812,17.487240075628467,,
37216.0,100.0,0.07,0.018,0.3,8875546.376,0.21078233038023686,0.7892176696197631,17.318293845819845,,
37319.0,100.0,0.06,0.016,0.3,8880088.185,0.21067973500708254,0.7893202649929174,17.147687030759396,,
37421.0,100.0,0.07,0.018,0.3,8884506.729,0.21057634621951613,0.7894236537804838,16.975451851774057,,
37524.0,100.0,0.06,0.019,0.3,8888801.492,0.21047214855721288,0.7895278514427871,16.801620675104598,,
37627.0,100.0,0.07,0.016,0.3,8892971.953,0.21036712651838313,0.7896328734816169,16.626226008455355,,
37729.0,100.0,0.04,0.007,0.3,8897017.586,0.2102612645621711,0.7897387354378289,16.449300497613955,,
37832.0,100.0,0.08,0.023,0.3,8900937.858,0.21015454710997172,0.7898454528900283,16.270876923284725,,
37935.0,100.0,0.04,0.008,0.3,8904732.232,0.21004695854774313,0.7899530414522569,16.09098819805575,,
38037.0,100.0,0.06,0.012,0.299,8908400.163,0.2099384832276224,0.7900615167723776,15.909667363519237,,
38140.0,100.0,0.07,0.017,0.299,8911941.104,0.20982910547009548,0.7901708945299045,15.726947587503874,,
38243.0,100.0,0.05,0.011,0.299,8915354.5,0.20971880956570932,0.7902811904342907,15.542862161506498,,
38346.0,100.0,0.06,0.013,0.299,8918639.789,0.20960757977701927,0.7903924202229807,15.357444498160806,,
38448.0,100.0,0.09,0.034,0.299,8921796.406,0.2094954003405976,0.7905045996594025,15.170728128891774,,
38551.0,100.0,0.06,0.012,0.299,8927721.328,0.20926812935225786,0.7907318706477422,14.79353397884199,,
38654.0,100.0,0.05,0.012,0.299,8930488.471,0.20915300616062865,0.7908469938393714,14.603123835056909,,
38756.0,100.0,0.06,0.015,0.299,8933124.617,0.20903687004587912,0.7909631299541209,14.411550255339645,,
38859.0,100.0,0.01,0.0,0.299,8935629.17,0.2089197051435798,0.7910802948564202,14.218847333145996,,
38962.0,100.0,0.08,0.028,0.299,8938001.529,0.20880149557496022,0.7911985044250398,14.02504926862887,,
39064.0,100.0,0.08,0.028,0.299,8940241.085,0.208682225448899,0.791317774551101,13.830190366796549,,
39167.0,100.0,0.06,0.017,0.299,8942347.225,0.20856187886414523,0.7914381211358548,13.634305035868563,,
39270.0,100.0,0.06,0.016,0.299,8944319.328,0.20844043991103178,0.7915595600889682,13.437427785641924,,
39372.0,100.0,0.09,0.033,0.299,8946156.768,0.20831789267373332,0.7916821073262666,13.239593225853373,,
39475.0,100.0,0.09,0.033,0.299,8947858.913,0.20819422123230494,0.7918057787676951,13.040836064626255,,
39578.0,100.0,0.07,0.018,0.299,8949425.126,0.20806940966457224,0.7919305903354278,12.841191106909676,,
39680.0,100.0,0.08,0.025,0.299,8950854.761,0.207943442048524,0.792056557951476,12.640693252998881,,
39783.0,100.0,0.09,0.032,0.299,8952147.169,0.20781630246418492,0.7921836975358151,12.439377496942475,,
39886.0,100.0,0.05,0.012,0.299,8953301.694,0.20768797499580824,0.7923120250041917,12.237278925074067,,
39988.0,100.0,0.06,0.013,0.299,8954317.674,0.20755844373411259,0.7924415562658874,12.034432714464264,,
40091.0,100.0,0.05,0.01,0.299,8955194.44,0.20742769277835862,0.7925723072216414,11.830874131381648,,
40194.0,100.0,0.06,0.013,0.299,8955931.319,0.2072957062386071,0.7927042937613928,11.626638529716024,,
40296.0,100.0,0.07,0.015,0.299,8956527.631,0.20716246823785642,0.7928375317621436,11.421761349386744,,
