easting,northing,porosity,permeability,Poisson's ratio,Young's Modulus,water saturation,oil saturation,thickness (ft),proppant weight (lbs),pump rate (cubic feet/min)
65900.0,52600.0,0.06,0.019,0.339,7816200.736,0.22745858397057567,0.7725414160294244,54.84835125444155,,
65993.0,52600.0,0.07,0.02,0.339,7815656.949,0.22769929024110708,0.772300709758893,54.93874822660919,,
66085.0,52600.0,0.07,0.014,0.339,7815235.942,0.22793786612990186,0.7720621338700981,55.02662891335928,,
66178.0,52600.0,0.08,0.025,0.339,7814940.507,0.22817417290869305,0.771825827091307,55.11197864827449,,
66271.0,52600.0,0.09,0.038,0.339,7814773.514,0.22840806661569027,0.7715919333843098,55.19478308612966,,
66363.0,52600.0,0.06,0.015,0.339,7814737.916,0.22863939792478755,0.7713606020752124,55.2750282023637,,
66456.0,52600.0,0.05,0.011,0.339,7814836.748,0.22886801201854803,0.771131987981452,55.352700292575875,,
66549.0,52600.0,0.05,0.011,0.339,7814836.748,0.22886801201854803,0.771131987981452,55.352700292575875,,
66641.0,52600.0,0.09,0.037,0.338,7815073.134,0.22909374846675926,0.7709062515332408,55.427785972078055,,
66734.0,52600.0,0.08,0.031,0.338,7815450.283,0.22931644111281363,0.7706835588871863,55.50027217546349,,
66827.0,52600.0,0.04,0.004,0.338,7815971.494,0.2295359179705322,0.7704640820294678,55.570146156219074,,
66919.0,52600.0,0.07,0.018,0.338,7816640.159,0.22975200113444785,0.7702479988655522,55.637395486430066,,
67012.0,52600.0,0.07,0.021,0.338,7817459.759,0.2299645067072783,0.7700354932927217,55.70200805649602,,
67105.0,52600.0,0.07,0.018,0.338,7818433.869,0.23017324474879214,0.7698267552512079,55.76397207496768,,
67197.0,52600.0,0.07,0.022,0.338,7819566.155,0.23037801925087723,0.7696219807491228,55.82327606849679,,
67290.0,52600.0,0.06,0.01,0.338,7820860.378,0.23057862814473898,0.769421371855261,55.879908881843285,,
67383.0,52600.0,0.08,0.028,0.338,7822320.39,0.23077486334637484,0.7692251366536251,55.93385967809871,,
67475.0,52600.0,0.05,0.01,0.338,7823950.131,0.2309665108479665,0.7690334891520335,55.98511793901574,,
67568.0,52600.0,0.04,0.005,0.338,7825753.629,0.23115335086329086,0.7688466491367092,56.033673465546656,,
67661.0,52600.0,0.1,0.042,0.338,7827734.996,0.23133515803635765,0.7686648419636424,56.07951637865094,,
67753.0,52600.0,0.05,0.013,0.338,7829898.422,0.23151170172354552,0.7684882982764545,56.12263712034963,,
67846.0,52600.0,0.05,0.013,0.338,7829898.422,0.23151170172354552,0.7684882982764545,56.12263712034963,,
67939.0,52600.0,0.07,0.014,0.338,7832248.167,0.23168274635990352,0.7683172536400965,56.1630264550318,,
68031.0,52600.0,0.07,0.024,0.337,7834788.556,0.2318480519216164,0.7681519480783836,56.20067547121107,,
68124.0,52600.0,0.07,0.02,0.337,7837523.968,0.23200737449651979,0.7679926255034802,56.235575583589835,,
68217.0,52600.0,0.07,0.022,0.337,7840458.819,0.23216046697518042,0.7678395330248196,56.26771853562249,,
68309.0,52600.0,0.11,0.055,0.337,7843597.557,0.23230707987457547,0.7676929201254246,56.29709640252068,,
68402.0,52600.0,0.07,0.022,0.337,7846944.634,0.23244696230557574,0.7675530376944243,56.32370159483052,,
68495.0,52600.0,0.05,0.009,0.337,7850504.495,0.2325798630939402,0.7674201369060598,56.34752686252206,,
68587.0,52600.0,0.07,0.02,0.337,7854281.552,0.2327055320621109,0.7672944679378891,56.36856529970289,,
68680.0,52600.0,0.06,0.016,0.337,7858280.155,0.2328237214754397,0.7671762785245603,56.386810349945264,,
68773.0,52600.0,0.06,0.019,0.337,7862504.572,0.23293418765217788,0.7670658123478221,56.40225581215192,,
68865.0,52600.0,0.09,0.04,0.337,7866958.95,0.23303669273058908,0.7669633072694109,56.41489584705011,,
68958.0,52600.0,0.07,0.02,0.337,7871647.286,0.23313100657972238,0.7668689934202776,56.42472498417661,,
69051.0,52600.0,0.07,0.018,0.336,7876573.389,0.233216908832586,0.766783091167414,56.431738129318965,,
69143.0,52600.0,0.07,0.018,0.336,7876573.389,0.233216908832586,0.766783091167414,56.431738129318965,,
69236.0,52600.0,0.07,0.017,0.336,7881740.845,0.23329419101182666,0.7667058089881733,56.43593057225193,,
69329.0,52600.0,0.05,0.012,0.336,7887152.975,0.23336265870929776,0.7666373412907023,56.43729799462569,,
69421.0,52600.0,0.08,0.021,0.336,7892812.802,0.23342213377235127,0.7665778662276488,56.43583647793824,,
69514.0,52600.0,0.07,0.019,0.336,7898723.009,0.23347245644243547,0.7665275435575645,56.431542511144734,,
69607.0,52600.0,0.05,0.009,0.336,7904885.903,0.2335134873860598,0.7664865126139402,56.42441299794528,,
69699.0,52600.0,0.06,0.015,0.336,7911303.387,0.23354510955515828,0.7664548904448417,56.41444526330585,,
69792.0,52600.0,0.06,0.014,0.336,7917976.927,0.23356722981443784,0.7664327701855622,56.40163705903583,,
69884.0,52600.0,0.06,0.014,0.335,7924907.531,0.23357978027728113,0.7664202197227189,56.385986568275214,,
69977.0,52600.0,0.08,0.031,0.335,7932095.73,0.23358271929971058,0.7664172807002894,56.367492408578215,,
70070.0,52600.0,0.03,0.003,0.335,7939541.569,0.23357603209346273,0.7664239679065372,56.34615363348459,,
70162.0,52600.0,0.05,0.009,0.335,7947244.601,0.23355973093335652,0.7664402690666434,56.32196973252732,,
70255.0,52600.0,0.07,0.014,0.335,7955203.892,0.23353385495066148,0.7664661450493385,56.29494062959757,,
70348.0,52600.0,0.07,0.014,0.335,7955203.892,0.23353385495066148,0.7664661450493385,56.29494062959757,,
70440.0,52600.0,0.05,0.013,0.335,7963418.032,0.23349846952079262,0.7665015304792073,56.265066679684374,308193.0261586389,308.3707775702262
