easting,northing,porosity,permeability,Poisson's ratio,Young's Modulus,water saturation,oil saturation,thickness (ft),proppant weight (lbs),pump rate (cubic feet/min)
78500.0,25100.0,0.09,0.028,0.303,9386411.942,0.0899462228861636,0.9100537771138364,77.15855492002656,862121.1670693231,271.7011303379589
78635.0,25100.0,0.09,0.034,0.303,9392738.118,0.08932031999914304,0.910679680000857,76.92565708670071,,
78770.0,25100.0,0.06,0.009,0.304,9405594.142,0.08806970162463904,0.911930298375361,76.45831558325027,663375.3300400581,405.35094729943285
78904.0,25100.0,0.09,0.036,0.304,9412123.059,0.0874449927086186,0.9125550072913814,76.22389294110292,,
79039.0,25100.0,0.09,0.033,0.304,9418718.582,0.08682068944656111,0.9131793105534389,75.98898274144507,458890.63800170453,345.72086971419424
79174.0,25100.0,0.07,0.021,0.304,9432107.306,0.08557332028667047,0.9144266797133296,75.51773969565645,,
79309.0,25100.0,0.09,0.032,0.304,9438899.379,0.08495026627201364,0.9150497337279864,75.28142643426285,831075.1661322388,245.5172872701828
79444.0,25100.0,0.09,0.036,0.304,9445755.801,0.0843276416910162,0.9156723583089839,75.04466479763907,,
79578.0,25100.0,0.09,0.035,0.305,9459659.197,0.08308371214461066,0.9169162878553894,74.56983382151819,516996.26687597967,382.4250852746217
79713.0,25100.0,0.1,0.043,0.305,9466704.871,0.08246242458873884,0.9175375754112611,74.33178282851493,,
79848.0,25100.0,0.06,0.017,0.305,9473812.299,0.08184160130103661,0.9181583986989634,74.09332016564825,707868.3560682427,371.4494666030354
79983.0,25100.0,0.07,0.021,0.305,9488209.613,0.08060139022808527,0.9193986097719147,73.61519505109362,,
80117.0,25100.0,0.08,0.03,0.305,9495498.057,0.07998202562436972,0.9200179743756303,73.3755499061782,270067.0014785579,300.55850340371114
80252.0,25100.0,0.07,0.018,0.305,9510250.799,0.07874484182596335,0.9212551581740367,72.89513686036672,,
80387.0,25100.0,0.09,0.029,0.305,9517713.564,0.07812705032265024,0.9218729496773498,72.65438561303901,232493.3166720733,299.9201249103037
80522.0,25100.0,0.08,0.024,0.306,9525232.883,0.0775098121629156,0.9224901878370844,72.4132821576649,,
80657.0,25100.0,0.06,0.014,0.306,9540437.977,0.07627705982305237,0.9237229401769477,71.93005091752042,474793.86129883793,304.8200114491842
80791.0,25100.0,0.07,0.019,0.306,9548122.124,0.07566157961571189,0.9243384203842882,71.68793907942727,,
80926.0,25100.0,0.09,0.028,0.306,9555859.567,0.07504672071854455,0.9249532792814554,71.4455069380894,692269.2790917461,284.06035867852944
81061.0,25100.0,0.05,0.008,0.306,9571490.978,0.07381894382358124,0.9261810561764188,70.95971287884667,,
81196.0,25100.0,0.1,0.042,0.306,9579383.245,0.07320606641775707,0.9267939335822429,70.71636638344985,432352.09055933164,283.9723561453108
81331.0,25100.0,0.09,0.038,0.307,9587325.405,0.07259389152933188,0.9274061084706682,70.4727304409109,,
81465.0,25100.0,0.05,0.011,0.307,9603355.933,0.07137174001554615,0.9286282599844539,69.98462054499197,500167.6325320492,264.99101119906413
81600.0,25100.0,0.06,0.014,0.307,9611442.549,0.07076181097279723,0.9292381890272028,69.74016166792822,,
81735.0,25100.0,0.09,0.042,0.307,9619575.559,0.07015267963785984,0.9298473203621401,69.49544350719748,1171653.9301796418,320.18239731155035
