easting,northing,porosity,permeability,Poisson's ratio,Young's Modulus,water saturation,oil saturation,thickness (ft),proppant weight (lbs),pump rate (cubic feet/min)
5600.0,8100.0,0.06,0.015,0.361,5373482.128,0.20502507897292938,0.7949749210270707,5.0,1384204.4146783832,264.85366541827364
5690.0,8100.0,0.05,0.011,0.361,5392239.992,0.20509339998297219,0.7949066000170278,5.0,,
5781.0,8100.0,0.06,0.014,0.361,5411006.15,0.20516085518403243,0.7948391448159675,5.0,,
5871.0,8100.0,0.06,0.012,0.361,5429781.953,0.20522741133569147,0.7947725886643086,5.0,929459.9519590026,299.89564609601064
5962.0,8100.0,0.06,0.017,0.36,5448568.803,0.20529303403496116,0.7947069659650389,5.0,,
6052.0,8100.0,0.06,0.012,0.36,5467368.152,0.20535768766347284,0.7946423123365272,5.0,,
6143.0,8100.0,0.06,0.012,0.36,5467368.152,0.20535768766347284,0.7946423123365272,5.0,515361.28150215256,362.0288275416251
6233.0,8100.0,0.05,0.009,0.36,5486181.505,0.20542133533265264,0.7945786646673474,5.0,,
6324.0,8100.0,0.05,0.011,0.36,5505010.422,0.20548393882508498,0.794516061174915,5.0,,
6414.0,8100.0,0.04,0.004,0.36,5523856.521,0.20554545853363396,0.7944545414663661,5.0,739702.3616833714,342.2130053906629
6505.0,8100.0,0.06,0.015,0.36,5542721.48,0.20560585339678958,0.7943941466032104,5.0,,
6595.0,8100.0,0.07,0.02,0.36,5561607.04,0.20566508083174015,0.7943349191682598,5.0,,
6686.0,8100.0,0.05,0.01,0.359,5580515.01,0.20572309666361152,0.7942769033363885,5.0,1613954.8504882255,355.46915926179696
6776.0,8100.0,0.04,0.007,0.359,5599447.267,0.20577985505247623,0.7942201449475238,5.0,,
6866.0,8100.0,0.07,0.018,0.359,5618405.758,0.20583530841751477,0.7941646915824853,5.0,,
6957.0,8100.0,0.06,0.019,0.359,5637392.51,0.20588940735849123,0.7941105926415087,5.0,974586.5693847538,198.93388848982266
7047.0,8100.0,0.06,0.019,0.359,5637392.51,0.20588940735849123,0.7941105926415087,5.0,,
7138.0,8100.0,0.05,0.01,0.359,5656409.626,0.2059421005760609,0.7940578994239391,5.0,,
7228.0,8100.0,0.07,0.022,0.359,5675459.291,0.20599333479043408,0.7940066652095659,5.0,2305282.997934502,369.0298543210037
7319.0,8100.0,0.04,0.005,0.359,5694543.777,0.2060430546601936,0.7939569453398064,5.0,,
7409.0,8100.0,0.05,0.008,0.358,5713665.445,0.2060912027023256,0.7939087972976744,5.0,,
7500.0,8100.0,0.04,0.004,0.358,5732826.745,0.2061377192147361,0.7938622807852639,5.0,545009.5147830454,348.0106816251675
7590.0,8100.0,0.04,0.006,0.358,5752030.227,0.2061825422041932,0.7938174577958068,5.0,,
7681.0,8100.0,0.07,0.017,0.358,5771278.533,0.20622560732205672,0.7937743926779433,5.0,,
7771.0,8100.0,0.05,0.006,0.358,5790574.411,0.2062668478112878,0.7937331521887122,5.0,437539.66523442586,376.36885079833803
7862.0,8100.0,0.04,0.005,0.358,5809920.705,0.20630619446905668,0.7936938055309433,5.0,,
