easting,northing,porosity,permeability,Poisson's ratio,Young's Modulus,water saturation,oil saturation,thickness (ft),proppant weight (lbs),pump rate (cubic feet/min)
12700.0,9200.0,0.05,0.008,0.349,7098212.306,0.19974716884640117,0.8002528311535988,5.0,809662.7889095948,169.6713850637946
12765.0,9200.0,0.02,0.002,0.349,7121581.63,0.19965673580502513,0.8003432641949748,5.0,,
12830.0,9200.0,0.02,0.002,0.349,7121581.63,0.19965673580502513,0.8003432641949748,5.0,1000317.9872215944,288.119942108274
12895.0,9200.0,0.05,0.01,0.348,7144962.697,0.19956536516862114,0.8004346348313789,5.0,,
12960.0,9200.0,0.03,0.002,0.348,7168352.888,0.19947312072394707,0.8005268792760529,5.0,1044003.4179400278,351.3714680793995
13025.0,9200.0,0.03,0.002,0.348,7168352.888,0.19947312072394707,0.8005268792760529,5.0,,
13091.0,9200.0,0.07,0.023,0.348,7191749.681,0.19938006393241905,0.800619936067581,5.0,650710.4101957888,304.87767660822976
13156.0,9200.0,0.05,0.012,0.348,7215150.642,0.19928625408739706,0.8007137459126029,5.0,,
13221.0,9200.0,0.05,0.012,0.348,7215150.642,0.19928625408739706,0.8007137459126029,5.0,1107602.7086909807,244.92326120442345
13286.0,9200.0,0.05,0.01,0.347,7238553.423,0.19919174845572182,0.8008082515442781,5.0,,
13351.0,9200.0,0.04,0.005,0.347,7261955.752,0.1990966024057536,0.8009033975942463,5.0,534188.7448352962,293.3781550095669
13416.0,9200.0,0.04,0.005,0.347,7261955.752,0.1990966024057536,0.8009033975942463,5.0,,
13481.0,9200.0,0.07,0.019,0.347,7285355.431,0.19900086952295273,0.8009991304770473,0.07578555713728272,683145.4182942008,253.73031037814172
13546.0,9200.0,0.07,0.019,0.347,7285355.431,0.19900086952295273,0.8009991304770473,0.07578555713728272,,
13611.0,9200.0,0.05,0.012,0.347,7308750.334,0.1989046017150296,0.8010953982849705,0.49347804655985456,306890.51929968165,263.14629238320725
13676.0,9200.0,0.05,0.009,0.346,7332138.396,0.1988078493075033,0.8011921506924967,0.9113609540356258,,
13742.0,9200.0,0.05,0.009,0.346,7332138.396,0.1988078493075033,0.8011921506924967,0.9113609540356258,976368.4675433127,300.6410991027564
13807.0,9200.0,0.04,0.005,0.346,7355517.615,0.19871066113094762,0.8012893388690524,1.3294265946518045,,
13872.0,9200.0,0.06,0.011,0.346,7378886.049,0.19861308460110358,0.8013869153988964,1.7476668279463943,1100569.0722809297,266.5209727034875
13937.0,9200.0,0.06,0.011,0.346,7378886.049,0.19861308460110358,0.8013869153988964,1.7476668279463943,,
14002.0,9200.0,0.05,0.007,0.346,7402241.81,0.19851516579189785,0.8014848342081021,2.1660730725721575,829646.322652857,322.58619280608355
14067.0,9200.0,0.06,0.012,0.346,7425583.061,0.19841694950253613,0.8015830504974639,2.5846363198725597,,
14132.0,9200.0,0.06,0.012,0.346,7425583.061,0.19841694950253613,0.8015830504974639,2.5846363198725597,637032.4585391129,308.02980070320575
14197.0,9200.0,0.06,0.013,0.345,7448908.016,0.19831847931996632,0.8016815206800336,3.0033471464664117,,
14262.0,9200.0,0.06,0.015,0.345,7472214.938,0.1982197976757041,0.8017802023242959,3.422195725876315,1241876.0270935565,292.8321204285146
14327.0,9200.0,0.06,0.015,0.345,7472214.938,0.1982197976757041,0.8017802023242959,3.422195725876315,,
14393.0,9200.0,0.04,0.007,0.345,7495502.131,0.1981209458989228,0.8018790541010772,3.8411718394046384,792177.8688895146,392.82928814026786
14458.0,9200.0,0.06,0.014,0.345,7518767.947,0.19802196426543264,0.8019780357345674,4.260264886253824,,
14523.0,9200.0,0.06,0.014,0.345,7518767.947,0.19802196426543264,0.8019780357345674,4.260264886253824,1165002.5649235423,320.45253795004163
14588.0,9200.0,0.06,0.012,0.344,7542010.776,0.1979228920430004,0.8020771079569996,4.679463892930986,,
14653.0,9200.0,0.06,0.018,0.344,7565229.048,0.19782376753407915,0.8021762324659208,5.098757522151544,724656.3354345331,375.28067446794046
14718.0,9200.0,0.06,0.018,0.344,7565229.048,0.19782376753407915,0.8021762324659208,5.098757522151544,,
14783.0,9200.0,0.05,0.011,0.344,7588421.231,0.19772462811466185,0.8022753718853382,5.518134081081493,1572266.554069107,276.7961651493699
14848.0,9200.0,0.05,0.011,0.344,7588421.231,0.19772462811466185,0.8022753718853382,5.518134081081493,,
14913.0,9200.0,0.06,0.017,0.344,7611585.83,0.19762551027152292,0.802374489728477,5.937581529148127,1840738.90109666,301.54551691153324
14978.0,9200.0,0.05,0.007,0.344,7634721.384,0.1975264496362087,0.8024735503637913,6.357087485324896,,
15044.0,9200.0,0.05,0.007,0.344,7634721.384,0.1975264496362087,0.8024735503637913,6.357087485324896,1821506.8027851381,270.87520644872444
15109.0,9200.0,0.05,0.014,0.343,7657826.465,0.19742748101736599,0.802572518982634,6.776639235105196,,
15174.0,9200.0,0.03,0.003,0.343,7680899.677,0.19732863843078893,0.802671361569211,7.19622373691422,973259.8447130857,390.83596816340275
15239.0,9200.0,0.03,0.003,0.343,7680899.677,0.19732863843078893,0.802671361569211,7.19622373691422,,
15304.0,9200.0,0.02,0.001,0.343,7703939.657,0.19722995512763988,0.8027700448723601,7.61582762833534,1100312.3198902062,252.5609373926505
15369.0,9200.0,0.04,0.006,0.343,7726945.069,0.19713146362090442,0.8028685363790956,8.035437231868626,,
15434.0,9200.0,0.04,0.006,0.343,7726945.069,0.19713146362090442,0.8028685363790956,8.035437231868626,529683.9020361457,236.81509498929253
15499.0,9200.0,0.04,0.01,0.342,7749914.608,0.1970331957105342,0.8029668042894658,8.455038560438629,,
15564.0,9200.0,0.02,0.002,0.342,7772846.996,0.1969351825066829,0.803064817493317,8.874617322658777,930766.1184784169,269.93057092004443
15629.0,9200.0,0.02,0.002,0.342,7772846.996,0.1969351825066829,0.803064817493317,8.874617322658777,,
15695.0,9200.0,0.05,0.009,0.342,7795740.98,0.19683745445212167,0.8031625455478784,9.294158927695058,1421812.347448104,306.6014742021247
15760.0,9200.0,0.05,0.009,0.342,7818595.336,0.1967400413428457,0.8032599586571543,9.713648490024568,,
15825.0,9200.0,0.05,0.009,0.342,7818595.336,0.1967400413428457,0.8032599586571543,9.713648490024568,456755.6858230513,286.32827781018534
15890.0,9200.0,0.06,0.016,0.341,7841408.862,0.19664297234802927,0.8033570276519707,10.133070833843032,,
15955.0,9200.0,0.04,0.008,0.341,7864180.383,0.1965462760286061,0.8034537239713939,10.552410497340743,906052.1160391674,218.52657545213336
16020.0,9200.0,0.04,0.008,0.341,7864180.383,0.1965462760286061,0.8034537239713939,10.552410497340743,,
16085.0,9200.0,0.05,0.009,0.341,7886908.746,0.19644998035496541,0.8035500196450346,10.971651736682125,1085413.8275014905,239.62921300064124
16150.0,9200.0,0.08,0.024,0.341,7909592.82,0.19635411272355877,0.8036458872764413,11.390778529860814,,
16215.0,9200.0,0.08,0.024,0.341,7909592.82,0.19635411272355877,0.8036458872764413,11.390778529860814,701389.5016012498,295.8941770796151
16280.0,9200.0,0.05,0.012,0.34,7932231.497,0.19625869997294731,0.8037413000270527,11.80977458032775,,
16346.0,9200.0,0.05,0.012,0.34,7932231.497,0.19625869997294731,0.8037413000270527,11.80977458032775,582519.2134535011,267.6654745056795
16411.0,9200.0,0.02,0.002,0.34,7954823.691,0.1961637683986689,0.8038362316013311,12.22862332045569,,
16476.0,9200.0,0.07,0.023,0.34,7977368.336,0.19606934376770474,0.8039306562322952,12.647307914805406,745477.3062389558,321.4128058409026
16541.0,9200.0,0.07,0.023,0.34,7977368.336,0.19606934376770474,0.8039306562322952,12.647307914805406,,
16606.0,9200.0,0.05,0.01,0.34,7999864.385,0.19597545133183725,0.8040245486681628,13.06581126327781,801664.820963175,238.99108539828987
16671.0,9200.0,0.04,0.005,0.34,8022310.812,0.19588211584071263,0.8041178841592873,13.484116004062887,,
16736.0,9200.0,0.04,0.005,0.34,8022310.812,0.19588211584071263,0.8041178841592873,13.484116004062887,839658.6784708417,307.70962958120083
16801.0,9200.0,0.03,0.004,0.339,8044706.61,0.1957893615542481,0.8042106384457519,13.902204516464124,,
16866.0,9200.0,0.06,0.015,0.339,8067050.79,0.19569721225393769,0.8043027877460623,14.320058923573168,773982.129716251,356.0210585345494
16931.0,9200.0,0.06,0.015,0.339,8067050.79,0.19569721225393769,0.8043027877460623,14.320058923573168,,
16997.0,9200.0,0.04,0.005,0.339,8089342.381,0.1956056912543833,0.8043943087456167,14.737661094789432,329094.65470577416,257.01047942767156
17062.0,9200.0,0.07,0.017,0.339,8111580.43,0.19551482141375712,0.8044851785862429,15.154992648237002,,
17127.0,9200.0,0.07,0.017,0.339,8111580.43,0.19551482141375712,0.8044851785862429,15.154992648237002,746868.7599419439,310.53478708065603
17192.0,9200.0,0.04,0.005,0.338,8133764.0,0.19542462514380088,0.8045753748561991,15.5720349529953,,
17257.0,9200.0,0.06,0.016,0.338,8155892.171,0.19533512441978185,0.8046648755802182,15.988769131268091,795122.6869721012,308.0345598296752
17322.0,9200.0,0.06,0.016,0.338,8155892.171,0.19533512441978185,0.8046648755802182,15.988769131268091,,
17387.0,9200.0,0.04,0.008,0.338,8177964.041,0.1952463407895194,0.8047536592104806,16.40517606035624,1364534.168572184,353.5763707836716
17452.0,9200.0,0.05,0.007,0.338,8199978.721,0.19515829538219023,0.8048417046178098,16.82123637457425,,
17517.0,9200.0,0.05,0.007,0.338,8199978.721,0.19515829538219023,0.8048417046178098,16.82123637457425,230202.6416061077,361.4914493447378
17582.0,9200.0,0.05,0.011,0.337,8221935.338,0.19507100891675022,0.8049289910832498,17.236930466974574,,
17648.0,9200.0,0.05,0.011,0.337,8221935.338,0.19507100891675022,0.8049289910832498,17.236930466974574,746288.9423074969,364.37695874903216
