easting,northing,porosity,permeability,Poisson's ratio,Young's Modulus,water saturation,oil saturation,thickness (ft),proppant weight (lbs),pump rate (cubic feet/min)
39100.0,25200.0,0.06,0.012,0.338,11777992.169,0.18652934026359383,0.8134706597364062,98.75683902834923,300834.20304368186,352.9175299653037
39194.0,25200.0,0.05,0.01,0.338,11762745.631,0.1872504876193272,0.8127495123806728,98.89613197310092,,
39288.0,25200.0,0.07,0.017,0.337,11747409.513,0.1879704336405568,0.8120295663594432,99.03417810634394,770352.6508874933,253.14820951207037
39382.0,25200.0,0.06,0.016,0.337,11731984.988,0.18868910471646275,0.8113108952835373,99.17099400832261,,
39476.0,25200.0,0.06,0.014,0.337,11716473.241,0.18940642722016018,0.8105935727798398,99.30659600465798,491296.76605773484,256.98158945758973
39570.0,25200.0,0.04,0.006,0.337,11700875.461,0.19012232749959612,0.8098776725004039,99.44100015423888,,
39664.0,25200.0,0.09,0.03,0.336,11685192.844,0.1908367318684594,0.8091632681315406,99.57422223702918,679057.7482294923,336.0610166148428
39759.0,25200.0,0.06,0.016,0.336,11669426.596,0.19154956659718136,0.8084504334028186,99.70627774171673,,
39853.0,25200.0,0.05,0.012,0.336,11653577.929,0.19226075790370456,0.8077392420962954,99.83718185326879,635192.5606311051,243.07849762780023
39947.0,25200.0,0.05,0.012,0.336,11653577.929,0.19226075790370456,0.8077392420962954,99.83718185326879,,
40041.0,25200.0,0.06,0.013,0.335,11637648.065,0.1929702319444835,0.8070297680555165,99.9669494403483,642003.8615499886,304.35766024664747
40135.0,25200.0,0.06,0.017,0.335,11621638.234,0.19367791480539398,0.806322085194606,100.09559504260908,,
40229.0,25200.0,0.04,0.006,0.335,11605549.675,0.19438373249269694,0.8056162675073031,100.22313285784686,757455.2845440402,266.58525556465304
40323.0,25200.0,0.08,0.019,0.335,11589383.636,0.19508761092389965,0.8049123890761003,100.34957672904538,,
40417.0,25200.0,0.09,0.032,0.334,11573141.376,0.1957894759187584,0.8042105240812416,100.47494013128738,202407.39248043543,326.4353931142208
40511.0,25200.0,0.07,0.023,0.334,11556824.164,0.19648925319010735,0.8035107468098927,100.59923615849085,,
40605.0,25200.0,0.07,0.021,0.334,11540433.277,0.1971868683348083,0.8028131316651916,100.72247751006826,827975.5404462748,360.60658261400584
40699.0,25200.0,0.05,0.012,0.334,11523970.007,0.19788224682458508,0.8021177531754149,100.84467647741816,,
40793.0,25200.0,0.06,0.02,0.333,11507435.653,0.19857531399698494,0.8014246860030151,100.96584493028205,542264.5589959113,220.2644227399125
40887.0,25200.0,0.04,0.006,0.333,11490831.528,0.19926599504618386,0.8007340049538161,101.08599430296478,,
40982.0,25200.0,0.07,0.023,0.333,11474158.957,0.19995421501372468,0.8000457849862753,101.20513558044539,641817.257410209,164.36714101981462
41076.0,25200.0,0.06,0.018,0.332,11457419.276,0.20063989877956429,0.7993601012204357,101.32327928429707,,
41170.0,25200.0,0.07,0.023,0.332,11440613.834,0.20132297105258198,0.798677028947418,101.44043545852706,1108832.9852812146,385.7129025544818
41264.0,25200.0,0.07,0.014,0.332,11423743.994,0.20200335636154668,0.7979966436384534,101.5566136552473,,
41358.0,25200.0,0.05,0.011,0.332,11406811.131,0.20268097904579824,0.7973190209542018,101.67182292024165,885536.4557446284,267.92914538430443
41452.0,25200.0,0.07,0.02,0.331,11389816.636,0.2033557632459568,0.7966442367540432,101.78607177836145,,
