easting,northing,porosity,permeability,Poisson's ratio,Young's Modulus,water saturation,oil saturation,thickness (ft),proppant weight (lbs),pump rate (cubic feet/min)
88400.0,32200.0,0.06,0.019,0.306,10516533.133,0.05274117534579876,0.9472588246542012,44.4335868768869,257993.8613321732,275.7375932852966
88497.0,32200.0,0.06,0.018,0.306,10522746.384,0.0521472634473355,0.9478527365526646,44.13258038754243,,
88595.0,32200.0,0.06,0.009,0.306,10528999.815,0.05156052633542575,0.9484394736645743,43.83276792002723,425975.05834024993,324.14503240185155
88692.0,32200.0,0.05,0.01,0.306,10535294.638,0.05098117365827246,0.9490188263417275,43.53417914457195,,
88790.0,32200.0,0.05,0.012,0.306,10541632.063,0.050409413961127615,0.9495905860388724,43.23684353309716,480964.16477770504,320.8684881896979
88887.0,32200.0,0.1,0.035,0.306,10548013.281,0.049845453183088625,0.9501545468169114,42.94079016821478,,
88984.0,32200.0,0.06,0.016,0.306,10554439.45,0.049289492942017475,0.9507105070579825,42.64604752534336,655405.998387351,269.04680566140325
89082.0,32200.0,0.05,0.009,0.306,10560911.677,0.04874172861575114,0.9512582713842489,42.35264322898865,,
89179.0,32200.0,0.07,0.02,0.306,10567430.992,0.04820234723884188,0.9517976527611581,42.060603785457644,551450.3221108918,274.75077709367275
89277.0,32200.0,0.05,0.011,0.306,10573998.332,0.04767152524895966,0.9523284747510403,41.769954296625556,,
89374.0,32200.0,0.07,0.019,0.306,10580614.515,0.047149426132238145,0.9528505738677618,41.48071816067187,572508.2673498164,249.12131560494956
89471.0,32200.0,0.05,0.008,0.306,10587280.217,0.04663619803202289,0.9533638019679771,41.1929167683816,,
89569.0,32200.0,0.04,0.005,0.306,10593995.948,0.046131971400661886,0.9538680285993382,40.90656920475143,970011.8846696654,298.5936183383897
89666.0,32200.0,0.07,0.022,0.306,10600762.033,0.04563685678398227,0.9543631432160178,40.62169196753566,,
89764.0,32200.0,0.06,0.013,0.306,10607578.59,0.045150942833555203,0.9548490571664447,40.33829871483816,901342.5427571242,314.27582612072325
89861.0,32200.0,0.08,0.029,0.306,10614445.516,0.04467429464138085,0.9553257053586192,40.05640005351862,,
89958.0,32200.0,0.07,0.019,0.306,10621362.472,0.044206952481332926,0.9557930475186671,39.77600337942266,551959.661283842,303.39466125638086
90056.0,32200.0,0.08,0.028,0.306,10628328.876,0.04374893102502198,0.956251068974978,39.497112777941005,,
90153.0,32200.0,0.07,0.026,0.306,10635343.905,0.04330021907585153,0.9566997809241484,39.21972899037097,882206.7785669526,253.19248228604886
90251.0,32200.0,0.06,0.013,0.306,10642406.489,0.04286077983623021,0.9571392201637698,38.943849448083505,,
90348.0,32200.0,0.06,0.013,0.306,10642406.489,0.04286077983623021,0.9571392201637698,38.943849448083505,1332708.1968480663,239.85776794224586
90445.0,32200.0,0.09,0.03,0.306,10649515.327,0.04243055169281701,0.957569448307183,38.66946837256247,,
90543.0,32200.0,0.07,0.018,0.306,10656668.894,0.04200944947626327,0.9579905505237367,38.39657693580572,594428.4354591502,180.79180168307832
90640.0,32200.0,0.06,0.017,0.306,10663865.461,0.04159736612794172,0.9584026338720583,38.12516347225784,,
90738.0,32200.0,0.07,0.016,0.306,10671103.113,0.041194174688552,0.958805825311448,37.85521373202518,632605.3092267291,185.7255627792817
90835.0,32200.0,0.07,0.027,0.306,10678379.77,0.04079973051514675,0.9592002694848533,37.58671116277769,,
90932.0,32200.0,0.08,0.025,0.306,10685693.212,0.04041387363032693,0.9595861263696731,37.31963720868372,373735.64017296577,282.532952126802
91030.0,32200.0,0.05,0.01,0.306,10693041.099,0.04003643111477264,0.9599635688852274,37.05397161480033,,
91127.0,32200.0,0.06,0.016,0.306,10700421.0,0.039667219463032186,0.9603327805369678,36.78969272674316,727024.3626640098,346.15499373478343
91225.0,32200.0,0.06,0.013,0.306,10707830.411,0.03930604683824588,0.9606939531617541,36.52677777763836,,
91322.0,32200.0,0.06,0.017,0.306,10715266.775,0.038952715176675846,0.9610472848233241,36.26520315588486,1283586.134778866,264.04060841780995
91419.0,32200.0,0.08,0.028,0.306,10722727.503,0.038607022107557856,0.9613929778924422,36.00494464953558,,
91517.0,32200.0,0.07,0.014,0.306,10730209.993,0.03826876266931373,0.9617312373306863,35.74597766472512,1063863.3434208403,174.4339281697135
91614.0,32200.0,0.08,0.027,0.306,10737711.637,0.0379377308138314,0.9620622691861686,35.48827741729392,,
91712.0,32200.0,0.07,0.018,0.306,10745229.844,0.03761372070147003,0.9623862792985299,35.23181909765007,1089010.0222352576,256.60937184105785
91809.0,32200.0,0.07,0.023,0.306,10752762.042,0.03729652779492227,0.9627034722050777,34.97657801022165,,
91907.0,32200.0,0.06,0.011,0.306,10760305.692,0.03698594976725853,0.9630140502327414,34.72252968922289,587143.4459903381,264.20888118814605
92004.0,32200.0,0.05,0.011,0.306,10767858.294,0.03668178723964203,0.963318212760358,34.46964999284073,,
92101.0,32200.0,0.05,0.009,0.306,10775417.392,0.03638384436870288,0.9636161556312971,34.21791517823212,835463.2796975714,295.77892658223135
92199.0,32200.0,0.04,0.007,0.306,10782980.578,0.0360919293011273,0.9639080706988727,33.96730195978047,,
92296.0,32200.0,0.07,0.02,0.306,10790545.498,0.03580585451438639,0.9641941454856136,33.717787552700926,540294.0376420298,250.42842105447306
92394.0,32200.0,0.06,0.018,0.306,10798109.851,0.035525437060110514,0.9644745629398895,33.46934970453791,,
92491.0,32200.0,0.05,0.012,0.306,10805671.394,0.035250498726004074,0.964749501273996,33.22196671605611,174855.1457684454,237.0151434566609
92588.0,32200.0,0.04,0.007,0.306,10813227.94,0.03498086612992056,0.9650191338700794,32.975617453698625,,
92686.0,32200.0,0.04,0.005,0.306,10820777.36,0.034716370758575206,0.9652836292414247,32.730281354955245,335874.87259517517,359.23389983405673
92783.0,32200.0,0.06,0.015,0.306,10828317.58,0.034456848961268174,0.9655431510387318,32.48593842799168,,
92881.0,32200.0,0.05,0.011,0.306,10835846.588,0.034202141908021684,0.9657978580919783,32.242569246809936,667688.4313284087,352.4803573384055
92978.0,32200.0,0.06,0.018,0.306,10843362.422,0.033952095519287795,0.9660479044807122,32.00015494281178,,
93075.0,32200.0,0.05,0.015,0.306,10850863.181,0.033706560374456705,0.9662934396255433,31.75867719361675,875118.5368592879,284.8356013317348
93173.0,32200.0,0.06,0.014,0.306,10858347.014,0.03346539160386581,0.9665346083961341,31.518118209841937,,
93270.0,32200.0,0.04,0.005,0.306,10865812.126,0.03322844876907998,0.9667715512309201,31.27846072036226,908888.8930888011,282.75891383046434
93368.0,32200.0,0.05,0.009,0.306,10873256.771,0.032995595735143685,0.9670044042648563,31.039687956632495,,
93465.0,32200.0,0.06,0.015,0.306,10880679.254,0.03276670053745802,0.967233299462542,30.801783636186006,972566.9208051581,223.69357707809917
93562.0,32200.0,0.06,0.016,0.306,10888077.931,0.03254163524597605,0.9674583647540239,30.564731945996403,,
93660.0,32200.0,0.03,0.005,0.306,10895451.203,0.032320275828307904,0.9676797241716921,30.328517525529392,1008962.6731236861,301.53560206933344
93757.0,32200.0,0.06,0.017,0.306,10902797.517,0.03210250201364631,0.9678974979863537,30.093125450018185,,
93855.0,32200.0,0.06,0.012,0.306,10910115.368,0.031888197158009585,0.9681118028419904,29.858541213818782,654444.1446754127,312.13433058064373
93952.0,32200.0,0.06,0.012,0.306,10917403.29,0.031677248112404535,0.9683227518875954,29.624750714253558,,
94049.0,32200.0,0.06,0.012,0.306,10917403.29,0.031677248112404535,0.9683227518875954,29.624750714253558,735174.424556321,215.57485428304648
94147.0,32200.0,0.07,0.018,0.306,10924659.862,0.0314695450940481,0.9685304549059519,29.391740235745164,,
94244.0,32200.0,0.06,0.013,0.306,10931883.703,0.03126498156131757,0.9687350184386825,29.15949643453558,498079.90845119196,287.9900917861853
94342.0,32200.0,0.08,0.023,0.306,10939073.472,0.031063454092825876,0.9689365459071742,28.928006323775982,,
94439.0,32200.0,0.06,0.012,0.306,10946227.864,0.030864862270689204,0.9691351377293108,28.69725725933524,649183.122420922,322.85928119835756
94536.0,32200.0,0.06,0.014,0.306,10953345.614,0.030669108568281214,0.9693308914317188,28.467236926055715,,
94634.0,32200.0,0.05,0.009,0.306,10960425.492,0.030476098242176956,0.969523901757823,28.23793332459261,1392146.4633517142,363.0253264435427
94731.0,32200.0,0.04,0.007,0.306,10967466.301,0.030285739228862976,0.969714260771137,28.009334758855825,,
94829.0,32200.0,0.06,0.012,0.306,10974466.882,0.0300979420455434,0.9699020579544566,27.78142982398637,357862.8883677013,260.55095344583265
94926.0,32200.0,0.05,0.011,0.306,10981426.105,0.02991261969526317,0.9700873803047368,27.5542073948471,,
95023.0,32200.0,0.06,0.017,0.306,10988342.873,0.02972968757643744,0.9702703124235625,27.327656615108133,1352588.4091957177,281.1295222367757
95121.0,32200.0,0.06,0.015,0.306,10995216.122,0.029549063395974906,0.970450936604025,27.10176688681862,,
95218.0,32200.0,0.05,0.011,0.306,11002044.814,0.02937066708680779,0.9706293329131922,26.876527860458676,508316.7354711206,315.73486607872746
95316.0,32200.0,0.05,0.013,0.306,11008827.943,0.02919442072880473,0.9708055792711953,26.651929425478276,,
95413.0,32200.0,0.04,0.008,0.306,11015564.532,0.02902024847326432,0.9709797515267357,26.42796170128511,270102.40185772895,269.24571286706646
95510.0,32200.0,0.06,0.013,0.306,11022253.63,0.028848076471170988,0.9711519235288291,26.20461502876,,
95608.0,32200.0,0.06,0.014,0.306,11028894.313,0.028677832804382096,0.9713221671956179,25.981879961984834,669956.8304387896,256.5111446096504
95705.0,32200.0,0.05,0.009,0.306,11035485.684,0.028509447420125695,0.9714905525798743,25.759747260570897,,
95803.0,32200.0,0.09,0.028,0.306,11042026.87,0.02834285206836372,0.9716571479316363,25.538207882298188,862772.4766719157,301.6591856472034
95900.0,32200.0,0.06,0.022,0.306,11048517.024,0.028177980241997563,0.9718220197580024,25.317252976045364,,
95997.0,32200.0,0.05,0.011,0.306,11054955.322,0.028014767119920205,0.9719852328800798,25.096873875130495,650399.381860966,278.60509343563166
96095.0,32200.0,0.07,0.021,0.306,11061340.965,0.02785314951232076,0.9721468504876792,24.877062091014327,,
96192.0,32200.0,0.06,0.014,0.306,11067673.175,0.027693065808700287,0.9723069341912998,24.657809307153148,415834.53307903185,425.00413503944577
96290.0,32200.0,0.05,0.008,0.306,11073951.198,0.027534455927896412,0.9724655440721036,24.43910737330156,,
96387.0,32200.0,0.07,0.018,0.306,11080174.301,0.02737726127051667,0.9726227387294833,24.220948300037143,721096.4378990048,249.9560408928823
96484.0,32200.0,0.05,0.009,0.306,11086341.771,0.027221424673413017,0.972778575326587,24.003324253496714,,
96582.0,32200.0,0.05,0.01,0.306,11092452.918,0.027066890365832225,0.9729331096341678,23.786227550375962,804991.3903255425,302.15467539837744
96679.0,32200.0,0.05,0.011,0.306,11098507.071,0.02691360392775284,0.9730863960722471,23.56965065329403,,
96777.0,32200.0,0.06,0.013,0.306,11104503.578,0.02676151224975926,0.9732384877502407,23.35358616612524,1027991.7139493433,250.26443755583094
96874.0,32200.0,0.05,0.012,0.305,11110441.806,0.02661056349482782,0.9733894365051722,23.138026829742195,,
96971.0,32200.0,0.05,0.008,0.305,11116321.144,0.026460707061278718,0.9735392929387213,22.922965517873177,1472141.7987494532,376.2000194985665
97069.0,32200.0,0.07,0.022,0.305,11122140.994,0.026311893547551844,0.9736881064524482,22.708395233209245,,
97166.0,32200.0,0.05,0.009,0.305,11127900.781,0.026164074718398524,0.9738359252816015,22.49430910358592,936314.781000674,353.62331634203497
97264.0,32200.0,0.06,0.016,0.305,11133599.945,0.02601720347216002,0.97398279652784,22.28070037836474,,
97361.0,32200.0,0.06,0.013,0.305,11139237.942,0.025871233809623955,0.974128766190376,22.067562425086294,325409.395162704,403.72104825818496
97458.0,32200.0,0.08,0.033,0.305,11144814.248,0.0257261208037817,0.9742738791962183,21.854888726060675,,
97556.0,32200.0,0.07,0.02,0.305,11150328.352,0.02558182057115355,0.9744181794288465,21.642672875335947,666012.1349852736,312.3185502037422
97653.0,32200.0,0.04,0.005,0.305,11155779.76,0.025438290243684193,0.9745617097563158,21.43090857559162,,
97751.0,32200.0,0.06,0.017,0.305,11161167.995,0.02529548794206786,0.9747045120579322,21.219589635294884,345319.1140708423,225.62265483901848
97848.0,32200.0,0.06,0.017,0.305,11161167.995,0.02529548794206786,0.9747045120579322,21.219589635294884,,
