easting,northing,porosity,permeability,Poisson's ratio,Young's Modulus,water saturation,oil saturation,thickness (ft),proppant weight (lbs),pump rate (cubic feet/min)
31900.0,77000.0,0.0,0.0,0.319,8569139.396,0.11035020111145886,0.8896497988885411,10.10072224319584,861692.0115048967,309.91641718852435
32002.0,77000.0,0.02,0.002,0.319,8569289.699,0.1098151992974247,0.8901848007025753,10.214543991863442,,
32105.0,77000.0,0.02,0.001,0.319,8569516.668,0.10927380768213851,0.8907261923178615,10.329073860949217,510149.206761884,307.66740113399175
32207.0,77000.0,0.01,0.001,0.319,8569819.774,0.10872606910099544,0.8912739308990045,10.44431359911461,,
32309.0,77000.0,0.03,0.003,0.319,8570198.452,0.10817202758934319,0.8918279724106568,10.560264740896393,1087646.0656529292,287.759175333616
32411.0,77000.0,0.02,0.001,0.319,8570652.109,0.10761172840322117,0.8923882715967788,10.676928618103842,,
32514.0,77000.0,0.01,0.0,0.319,8571180.126,0.10704521803951811,0.892954781960482,10.794306371265531,1063602.3944948786,353.4594473832195
32616.0,77000.0,0.02,0.002,0.318,8571781.855,0.10647254425553347,0.8935274557444666,10.91239896115508,,
32718.0,77000.0,0.0,0.0,0.318,8572456.627,0.10589375608791292,0.894106243912087,11.031207180357391,535212.3241324,243.595473673573
32821.0,77000.0,0.02,0.001,0.318,8573203.751,0.10530890387065028,0.8946910961293497,11.150731664770403,,
32923.0,77000.0,0.03,0.003,0.318,8574022.518,0.10471803925236092,0.8952819607476391,11.270972905106909,703623.2198645697,277.9882035478673
33025.0,77000.0,0.02,0.001,0.318,8574912.199,0.10412121521244108,0.8958787847875589,11.39193125822596,,
33128.0,77000.0,0.0,0.0,0.318,8575872.053,0.10351848607631327,0.8964815139236867,11.513606958418057,609937.5466230612,271.45722203394337
33230.0,77000.0,0.02,0.001,0.318,8576901.325,0.10290990752949855,0.8970900924705014,11.636000128495832,,
33332.0,77000.0,0.04,0.006,0.318,8577999.249,0.10229553663054444,0.8977044633694555,11.759110790677532,936981.1168562196,333.300821121615
33434.0,77000.0,0.0,0.0,0.318,8579165.05,0.10167543182281752,0.8983245681771825,11.882938877339217,,
33537.0,77000.0,0.0,0.0,0.318,8580397.945,0.10104965294502065,0.8989503470549793,12.00748424142981,1494431.1118365708,329.3924302913504
33639.0,77000.0,0.03,0.003,0.318,8581697.147,0.10041826124040115,0.8995817387595988,12.132746666739546,,
33741.0,77000.0,0.0,0.0,0.318,8583061.863,0.09978131936475994,0.90021868063524,12.258725877828168,1733958.0503926359,301.050331740982
33844.0,77000.0,0.03,0.004,0.318,8584491.301,0.09913889139314196,0.9008611086068581,12.385421549695613,,
33946.0,77000.0,0.03,0.003,0.318,8585984.664,0.09849104282520621,0.9015089571747938,12.512833317171443,405900.0360470299,237.49491727328478
34048.0,77000.0,0.03,0.004,0.318,8587541.16,0.09783784058930234,0.9021621594106977,12.640960783940539,,
34151.0,77000.0,0.02,0.001,0.317,8590840.389,0.096515649985651,0.903484350014349,12.899361126598901,881639.1146312105,314.4758237734097
34253.0,77000.0,0.02,0.001,0.317,8592581.551,0.09584680263660086,0.9041531973633992,13.02963313128185,,
34355.0,77000.0,0.02,0.001,0.317,8594382.709,0.09517288365615596,0.904827116343844,13.160619108660926,913844.657528369,304.7324192599458
34457.0,77000.0,0.01,0.0,0.317,8596243.093,0.09449396713239118,0.9055060328676088,13.292318631325342,,
34560.0,77000.0,0.02,0.001,0.317,8598161.942,0.09381012857983552,0.9061898714201645,13.424731288217416,794267.0961494293,359.2617644830078
34662.0,77000.0,0.01,0.0,0.317,8600138.505,0.09312144493502277,0.9068785550649773,13.557856691349846,,
34764.0,77000.0,0.01,0.001,0.317,8602172.043,0.09242799455073074,0.9075720054492693,13.691694482214741,621696.9602580812,273.63664798270395
34867.0,77000.0,0.02,0.003,0.317,8604261.824,0.09172985718921471,0.9082701428107853,13.826244337852591,,
34969.0,77000.0,0.02,0.002,0.317,8606407.131,0.09102711401442931,0.9089728859855707,13.96150597657047,946704.703366,304.19952590517977
35071.0,77000.0,0.02,0.002,0.317,8608607.259,0.09031984758324921,0.9096801524167508,14.09747916335145,,
35174.0,77000.0,0.04,0.007,0.317,8610861.517,0.08960814183571736,0.9103918581642827,14.234163714962811,1014225.2897122405,104.76032508702195
35276.0,77000.0,0.0,0.0,0.317,8613169.226,0.08889208208440397,0.9111079179155961,14.371559504686296,,
35378.0,77000.0,0.05,0.011,0.317,8615529.722,0.08817175500294497,0.9118282449970551,14.509666466805633,1320238.4705922916,279.5991806627751
35480.0,77000.0,0.02,0.002,0.317,8617942.359,0.08744724861371132,0.9125527513862887,14.648484600783133,,
35583.0,77000.0,0.02,0.001,0.316,8620406.501,0.08671865227479893,0.9132813477252011,14.788013975067134,1690304.7582537674,337.86302348399346
35685.0,77000.0,0.03,0.004,0.316,8622921.531,0.08598605666622053,0.9140139433337795,14.9282547307587,,
35787.0,77000.0,0.03,0.004,0.316,8625486.847,0.0852495537755149,0.9147504462244851,15.069207084819732,811134.2779899511,374.0743995513387
35890.0,77000.0,0.02,0.001,0.316,8628101.864,0.08450923688265725,0.9154907631173428,15.210871333178336,,
35992.0,77000.0,0.03,0.003,0.316,8630766.011,0.08376520054448695,0.916234799455513,15.35324785344052,922568.9422138806,268.63231529677626
36094.0,77000.0,0.02,0.001,0.316,8633478.736,0.08301754057850626,0.9169824594214937,15.496337107460368,,
36197.0,77000.0,0.03,0.003,0.316,8636239.501,0.08226635404623778,0.9177336459537622,15.64013964354326,104247.60695065164,322.7474938002821
36299.0,77000.0,0.03,0.003,0.316,8639047.787,0.08151173923617813,0.9184882607638218,15.784656098537972,,
36401.0,77000.0,0.02,0.001,0.316,8641903.09,0.08075379564627133,0.9192462043537286,15.929887199592768,651433.848751918,270.95591006958625
36503.0,77000.0,0.01,0.0,0.316,8644804.922,0.07999262396605042,0.9200073760339496,16.0758337657592,,
36606.0,77000.0,0.01,0.001,0.316,8647752.813,0.07922832605847983,0.9207716739415202,16.222496709368087,948416.646561868,323.7477521400748
36708.0,77000.0,0.03,0.003,0.316,8650746.307,0.07846100494140118,0.9215389950585988,16.369877037163995,,
36810.0,77000.0,0.04,0.004,0.316,8653784.967,0.0776907647688928,0.9223092352311072,16.517975851287137,392887.6724305523,295.6985564363478
36913.0,77000.0,0.02,0.001,0.315,8656868.369,0.07691771081219181,0.9230822891878082,16.666794350085542,,
37015.0,77000.0,0.02,0.002,0.315,8659996.107,0.07614194944060584,0.9238580505593942,16.816333828633443,646385.1569765654,432.4073023339922
37117.0,77000.0,0.02,0.001,0.315,8663167.788,0.07536358810212655,0.9246364118978735,16.966595679235976,,
37220.0,77000.0,0.04,0.007,0.315,8666383.037,0.07458273530394938,0.9254172646960506,17.117581391636385,1052233.0299227752,283.5755582575867
37322.0,77000.0,0.03,0.003,0.315,8669641.491,0.07379950059289016,0.9262004994071098,17.269292553106496,,
37424.0,77000.0,0.01,0.0,0.315,8672942.803,0.07301399453570592,0.9269860054642941,17.421730848431284,811574.1857214739,411.8701245656585
37526.0,77000.0,0.02,0.003,0.315,8676286.639,0.07222632869925559,0.9277736713007444,17.574898059670954,,
37629.0,77000.0,0.01,0.001,0.315,8679672.681,0.07143661563075306,0.9285633843692469,17.728796065806787,803577.859005065,291.52614784606266
37731.0,77000.0,0.02,0.001,0.315,8683100.621,0.07064496883788894,0.929355031162111,17.883426842286028,,
37833.0,77000.0,0.03,0.003,0.315,8686570.165,0.06985150276886713,0.9301484972311329,18.03879246038897,543882.6462863839,306.0845361652867
37936.0,77000.0,0.02,0.002,0.315,8690081.034,0.06905633279266206,0.9309436672073379,18.19489508652049,,
38038.0,77000.0,0.03,0.002,0.315,8693632.957,0.06825957517896435,0.9317404248210357,18.35173698132672,728260.8763251314,276.36538010598986
38140.0,77000.0,0.02,0.002,0.315,8697225.677,0.06746134707846645,0.9325386529215336,18.50932049875461,,
38243.0,77000.0,0.03,0.005,0.314,8700858.946,0.0666617665029241,0.9333382334970759,18.66764808497521,1146883.7609966777,283.41747142408974
38345.0,77000.0,0.03,0.002,0.314,8704532.528,0.0658609523053683,0.9341390476946317,18.826722277192577,,
38447.0,77000.0,0.05,0.011,0.314,8708246.197,0.06505902416036956,0.9349409758396304,18.986545702380425,1109294.2165049384,315.40933387502196
38549.0,77000.0,0.01,0.001,0.314,8711999.734,0.06425610254428014,0.9357438974557198,19.14712107591591,,
38652.0,77000.0,0.03,0.005,0.314,8719625.587,0.06264776469513779,0.9373522353048622,19.47053896260715,984878.5361111504,375.4966994393299
38754.0,77000.0,0.02,0.002,0.314,8723497.51,0.06184259324690874,0.9381574067530912,19.633387334906168,,
38856.0,77000.0,0.02,0.002,0.314,8727408.513,0.06103691785810718,0.9389630821418928,19.796999370464345,854286.4397678496,242.2885236930927
38959.0,77000.0,0.04,0.008,0.314,8731358.416,0.060230862719915575,0.9397691372800844,19.96137820302546,,
39061.0,77000.0,0.02,0.001,0.314,8735347.046,0.05942455270796268,0.9405754472920373,20.12652704471782,865345.6587809799,308.9574907294192
39163.0,77000.0,0.06,0.012,0.314,8739374.232,0.05861811336299265,0.9413818866370074,20.292449184126106,,
39266.0,77000.0,0.03,0.004,0.314,8743439.812,0.05781167087147123,0.9421883291285288,20.459147984304316,1189508.831614982,249.4451988384917
39368.0,77000.0,0.0,0.0,0.314,8747543.623,0.05700535204631305,0.9429946479536869,20.626626880697614,,
39470.0,77000.0,0.02,0.001,0.313,8751685.509,0.05619928430751498,0.943800715692485,20.794889379007895,338021.34087115614,267.1852208088267
39572.0,77000.0,0.02,0.001,0.313,8755865.315,0.05539359566292186,0.9446064043370781,20.963939053041194,,
39675.0,77000.0,0.05,0.01,0.313,8760082.887,0.054588414688929866,0.9454115853110702,21.133779542422776,1312138.1050637118,277.53131741062464
39777.0,77000.0,0.04,0.007,0.313,8764338.073,0.05378387051119292,0.9462161294888071,21.304414550318462,,
39879.0,77000.0,0.03,0.003,0.313,8768630.722,0.05298009278531796,0.947019907214682,21.475847841079265,211214.42063466742,359.39238389718037
39982.0,77000.0,0.01,0.0,0.313,8772960.682,0.05217721167760801,0.947822788322392,21.64808323783447,,
